Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H25S1V001,H25S1V002,H25S1V003,H25S1V004,H25S1V005,H25S1V006,H25S1V007,H25S1V008,H25S1V009,H25S1V010,H25S1V011,H25S1V012,H25S1V013,H25S1V014,H25S1V015,H25S1V016,H25S1V017
,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,10.02.1962,10.04.1962,10.04.1962,10.09.1962,10.11.1962,10.16.1962,10.17.1962,10.17.1962,10.25.1962,11.06.1962,11.06.1962,11.29.1962,12.04.1962,12.12.1962,01.31.1963,02.05.1963,02.05.1963
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=whipped, 0=non-whipped",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=Bill, 3=Motion, 5=Amendment",,,,,,,,,,,,,,,,,
614,RIMOUSKI,Quebec,1867 - 1980,25,1962.06.18,499,2483630e-fc4c-430a-965d-01f22df62836,"LEGARE, Gerard",9955,0.3496,Liberal Party of Canada,"Editor, journalist, printer, publisher",,1,3,,,,,,,,,,,,,2,1,1,1,2,1,2,2,1,1,1,2,9,2,2,1,1
479,NEW WESTMINSTER,British Columbia,1872 - 1976,25,1962.06.18,537,279663fb-c05e-4f76-934e-36da39af24a9,"MATHER, Barry",23827,0.3918,New Democratic Party,"Columnist, journalist",,0,1,,,,,,,,,,,,,2,1,1,1,2,2,1,2,9,2,1,1,2,2,2,1,1
312,INVERNESS--RICHMOND,Nova Scotia,1933 - 1966,25,1962.06.18,560,29120c21-7fca-48fe-bd93-53ba86e83429,"MACEACHEN, Allan Joseph",8331,0.5055,Liberal Party of Canada,"Economist, professor",,0,3,,,,,,,,,,,,,2,1,1,1,2,1,9,9,1,1,1,2,9,2,2,1,1
848,YORK WEST,Ontario,1914 - ,25,1962.06.18,563,295c792a-017a-4e22-b549-38209a21a590,"KELLY, Red",32362,0.4236,Liberal Party of Canada,Professional hockey player,,0,1,,,,,,,,,,,,,2,1,1,1,9,9,9,9,1,1,1,9,9,9,9,1,1
790,WATERLOO NORTH,Ontario,1867 - 1966,25,1962.06.18,573,2a0df4e3-b9b0-40c4-b757-13d17fac00ca,"WEICHEL, O.W. Mike",21262,0.4429,Progressive Conservative Party,"Journalist, postmaster",,0,2,,,,,,,,,,,,,2,2,2,2,1,1,1,1,1,9,9,2,1,1,1,2,2
1131,ST. LAWRENCE--ST. GEORGE,Quebec,1952 - 1966,25,1962.06.18,613,2d6cfb9d-1d91-419c-835b-2bc796126fab,"TURNER, John",7227,0.5194,Liberal Party of Canada,Lawyer,,0,1,,,,,,,,,England,,,,2,1,1,1,2,1,2,2,1,1,1,2,9,9,9,1,1
266,HALTON,Ontario,1867 - 1987,25,1962.06.18,630,2f15dfc9-fa48-427a-a525-50f18f0f419d,"HARLEY, Harry C.",18556,0.4073,Liberal Party of Canada,Physician,,0,1,,,,,,,,,,,,,2,1,1,1,2,1,2,2,1,1,1,9,1,2,2,1,1
619,ROSEDALE,Ontario,1933 - 1996,25,1962.06.18,666,3182f9f8-dbee-4324-93f2-30c9df730339,"MACDONALD, Donald S.",10191,0.4281,Liberal Party of Canada,Lawyer,,0,1,,,,,,,,,,,,,2,1,1,1,2,1,2,2,1,1,1,2,1,2,2,1,1
704,STANSTEAD,Quebec,1867 - 1966,25,1962.06.18,668,319a1cc1-a87d-446e-aa6f-bcb84462aab0,"LETOURNEAU, Rene",7982,0.412,Progressive Conservative Party,"Lumber merchant, merchant",,1,2,,,,,,,,,,,,,2,2,2,2,1,1,1,1,1,9,9,9,9,1,9,2,2
685,SIMCOE EAST,Ontario,1882 - 1966,25,1962.06.18,686,329379c4-3b01-4b09-87ba-4c5de970dabc,"RYNARD, P.B.",12835,0.5284,Progressive Conservative Party,"Physician, surgeon",,0,3,,,,,,,,,,,,,2,2,2,2,9,1,1,1,1,9,9,2,1,1,1,2,2
263,HALIFAX,Nova Scotia,1867 - ,25,1962.06.18,697,3339c35a-5f0e-4122-9fb3-eada7d8f5bf7,"MCCLEAVE, Robert",42964,0.2377,Progressive Conservative Party,"Dean, editor, journalist, judge, lawyer",,0,3,,,1,,,,,,,,,,2,2,2,2,1,1,1,1,1,2,2,2,9,1,1,2,2
764,VANCOUVER SOUTH,British Columbia,1914 - 1996,25,1962.06.18,728,355fae5e-9d52-46cc-a5dd-2658a81a0ea7,"LAING, Arthur",14660,0.3644,Liberal Party of Canada,"Businessman, manager, public affairs executive",,0,2,,,,,,,,,,,,,2,1,1,1,2,1,2,2,9,1,1,2,9,2,2,1,1
