Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S19S1V01,S19S1V02,S19S2V01,S19S2V02,S19S3V01,S19S4V01,S19S4V02,S19S4V03,S19S4V04,S19S5V01,S19S5V02,S19S5V03
Date,,,,,,,,07.24.1940,08.01.1940,06.04.1941,06.04.1941,07.29.1942,04.13.1943,04.21.1943,04.21.1943,07.07.1943,06.30.1944,07.26.1944,08.02.1944
Bill,,,,,,,yay=1;nay=2;paired=3;yes+no=4;yes+paired=5;no+paired=6;yes+no+paired=7;notvote=ENPTY;Abstention=8;Problem=9999,"Motion that the Senate do not insist upon the amendment to which the Commons has disagreed concerning the Bill (An Act to amend the Farmers' Creditors Arrangement Act, 1934)","Motion that the Bill (An Act to establish an Unemployment Insurance Commission, to provide for Insurance against Unemployment, to establish an Employment Service, and for other purposes related thereto) be not now read a third time, but that it be further amended",Motion that the second amendment proposed to the Bill (An Act to amend the Pension Act) by the Standing Committee on Banking and Commerce be not concurred with,Motion that the first amendment proposed to the Bill (An Act to amend the Pension Act) by the Standing Committee on Banking and Commerce be not concurred with,"Motion that the Bill (An Act to amend The National Resources Mobilization Act, 1840) be read a second time",Motion that the Bill (An Act to enable a married person in certain circumstances to apply to a court of competent jurisdiction for a declaration that the other party to the marriage be presumed dead and for the dissolution of marriage) be read a second time,Motion that the Bill (An Act to amend The Department of Munitions and Supply Act) be read a second time after Easter recess,"Motion that the Bill (An Act to amend The Department of Munitions and Supply Act) be not now read a third time, but be amended",Motion that the readjustment of representation on the basis of the census of 1941 not be made during the the continuance of the hostilities,"Motion that the Bill (An Act to provide regulations enabling Canadian War Service electors to exercise their franchise, and Canadian prisoners of war to vote by proxy, at any general election held during the present war) be read a third time",Motion that the Bill (An Act to amend the Aeronautics Act) be now read a second time,Motion that the Bill (An Act to amend the Aeronautics Act) be amended
"Beaubien, Charles-Philippe",Conservative (1867-1942),Quebec,"Borden, Robert Laird",1915.12.03 - 1949.01.17 ,1915.12.03 , 1949.01.17 ,(Death),2,1,2,2,1,9,9,9,9,9,2,9
"Robinson, Brewer Waugh",Liberal Party of Canada,Prince Edward Island,"King, William Lyon Mackenzie",1945.04.19 - 1949.01.20 ,1945.04.19 , 1949.01.20 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99
"Murdock, James",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1930.03.20 - 1949.05.15 ,1930.03.20 , 1949.05.15 ,(Death),2,2,1,1,1,9,9,2,1,1,1,2
"Copp, Arthur Bliss",Liberal Party of Canada,New Brunswick,"King, William Lyon Mackenzie",1925.09.25 - 1949.12.05 ,1925.09.25 , 1949.12.05 ,(Death),1,2,9,9,1,1,9,9,9,2,9,2
"Sinclair, John Ewen",Liberal Party of Canada,Prince Edward Island,"King, William Lyon Mackenzie",1930.06.07 - 1949.12.23 ,1930.06.07 , 1949.12.23 ,(Death),1,2,1,1,1,1,9,9,1,2,1,2
"St-PíÂre, íŠdouard-Charles",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1940.02.09 - 1950.01.31 ,1940.02.09 , 1950.01.31 ,(Death),1,2,1,9,2,2,9,2,1,9,1,2
"Lesage, Joseph Arthur",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1944.03.03 - 1950.03.09 ,1944.03.03 , 1950.03.09 ,(Death),99,99,99,99,99,99,99,99,99,99,9,9
"Lí©ger, Antoine Joseph",Progressive Conservative Party,New Brunswick,"Bennett, Richard Bedford",1935.08.14 - 1950.04.07 ,1935.08.14 , 1950.04.07 ,(Death),9,9,2,2,9,2,9,9,9,9,9,9
"Jones, George Burpee",Progressive Conservative Party,New Brunswick,"Bennett, Richard Bedford",1935.07.20 - 1950.04.27 ,1935.07.20 , 1950.04.27 ,(Death),9,9,9,9,1,1,9,9,9,9,9,9
"Mullins, Henry Alfred",Conservative (1867-1942),Manitoba,"Bennett, Richard Bedford",1935.08.14 - 1950.09.05 ,1935.08.14 , 1950.09.05 ,(Resignation),9,1,9,9,9,9,9,9,9,9,9,9
"Ballantyne, Charles Colquhoun",Progressive Conservative Party,Quebec,"Bennett, Richard Bedford",1932.02.03 - 1950.10.19 ,1932.02.03 , 1950.10.19 ,(Death),2,1,2,2,1,1,1,1,1,9,9,9
"Ferland, Charles-íŠdouard",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1945.04.18 - 1951.04.18 ,1945.04.18 , 1951.04.18 ,(Resignation),99,99,99,99,99,99,99,99,99,99,99,99
"Paquet, EugíÂne",Conservative (1867-1942),Quebec,"Bennett, Richard Bedford",1935.08.14 - 1951.05.08 ,1935.08.14 , 1951.05.08 ,(Death),9,1,9,9,2,2,1,9,2,9,2,1
"Moraud, Lucien",Progressive Conservative Party,Quebec,"Bennett, Richard Bedford",1933.12.30 - 1951.05.29 ,1933.12.30 , 1951.05.29 ,(Death),9,9,2,2,9,9,1,1,2,9,9,9
"Aylesworth, Allen Bristol",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1923.01.11 - 1952.02.13 ,1923.01.11 , 1952.02.13 ,(Death),2,2,1,1,1,9,9,9,1,9,1,9
"Bourque, Thomas-Jean",Conservative (1867-1942),New Brunswick,"Borden, Robert Laird",1917.01.20 - 1952.02.16 ,1917.01.20 , 1952.02.16 ,(Death),9,1,9,9,9,2,9,9,2,2,2,9
"Lacasse, Joseph-Henri-Gustave",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1928.01.10 - 1953.01.18 ,1928.01.10 , 1953.01.18 ,(Death),1,2,1,1,2,9,9,9,1,9,1,2
"David, Louis-Athanase",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1940.02.09 - 1953.01.26 ,1940.02.09 , 1953.01.26 ,(Death),1,2,9,9,2,2,9,9,9,9,9,9
"Duff, William",Liberal Party of Canada,Nova Scotia,"King, William Lyon Mackenzie",1936.02.28 - 1953.04.25 ,1936.02.28 , 1953.04.25 ,(Death),9,9,9,9,9,2,9,9,9,1,9,9
"MacLennan, Donald",Liberal Party of Canada,Nova Scotia,"King, William Lyon Mackenzie",1940.01.29 - 1953.10.19 ,1940.01.29 , 1953.10.19 ,(Death),1,9,1,9,1,9,9,9,1,1,1,9
"Dennis, William Henry",Progressive Conservative Party,Nova Scotia,"Bennett, Richard Bedford",1932.02.03 - 1954.01.18 ,1932.02.03 , 1954.01.18 ,(Death),9,9,9,9,9,9,9,9,9,9,9,9
"Hushion, William James",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1940.02.15 - 1954.01.29 ,1940.02.15 , 1954.01.29 ,(Death),9,2,1,1,1,2,2,2,1,1,1,2
"Buchanan, William Ashbury",Liberal Party of Canada,Alberta,"King, William Lyon Mackenzie",1925.09.05 - 1954.07.11 ,1925.09.05 , 1954.07.11 ,(Death),9,9,9,9,1,9,9,9,1,9,9,9
"Beauregard, Elie",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1940.02.09 - 1954.08.27 ,1940.02.09 , 1954.08.27 ,(Death),1,9,9,9,2,2,2,2,9,9,9,2
"Hurtubise, Joseph Raoul",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1945.06.09 - 1955.01.31 ,1945.06.09 , 1955.01.31 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99
"Fafard, Joseph-Fernand",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1940.01.29 - 1955.05.14 ,1940.01.29 , 1955.05.14 ,(Death),1,2,1,1,2,2,2,2,9,9,1,9
"King, James Horace",Liberal Party of Canada,British Columbia,"King, William Lyon Mackenzie",1930.06.07 - 1955.07.14 ,1930.06.07 , 1955.07.14 ,(Death),1,9,9,9,1,1,2,2,1,2,1,2
"Du Tremblay, Pamphile Rí©al Blaise Nugent",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1942.11.19 - 1955.10.06 ,1942.11.19 , 1955.10.06 ,(Death),99,99,99,99,99,9,2,2,1,9,1,2
"Fallis, Iva Campbell",Progressive Conservative Party,Ontario,"Bennett, Richard Bedford",1935.07.20 - 1956.03.07 ,1935.07.20 , 1956.03.07 ,(Death),9,2,9,9,1,9,1,1,1,9,2,9
"Calder, James Alexander",Progressive Conservative Party,Saskatchewan,"Meighen, Arthur",1921.09.22 - 1956.07.20 ,1921.09.22 , 1956.07.20 ,(Death),2,1,9,9,1,1,1,1,9,9,2,1
"Stevenson, John James",Liberal Party of Canada,Saskatchewan,"King, William Lyon Mackenzie",1940.01.29 - 1956.09.21 ,1940.01.29 , 1956.09.21 ,(Death),1,2,1,1,9,1,2,2,1,9,9,9
