Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S30S1V01,S30S1V02,S30S1V03,S30S1V04,S30S1V05,S30S1V06,S30S1V07,S30S1V08,S30S1V09,S30S1V10,S30S1V11,S30S1V12,S30S2V01,S30S2V02,S30S2V03,S30S2V04,S30S2V05,S30S2V06,S30S2V07,S30S3V01,S30S3V02,S30S3V03,S30S3V04,S30S3V05,S30S4V01,S30S4V02,S30S4V03,S30S4V04,S30S4V05,S30S4V06,S30S4V07
"Quart, Josie Alice",Progressive Conservative Party,Quebec,"Diefenbaker, John George",1960.11.16 - 1980.04.17 ,1960.11.16 , 1980.04.17 ,(Death),9,1,1,9,9,1,1,9,9,1,9,9,2,1,1,1,9,9,9,9,2,1,9,1,9,9,9,9,9,1,1
"Desruisseaux, Paul",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1966.07.08 - 1980.05.01 ,1966.07.08 , 1980.05.01 ,(Retirement),9,9,9,9,9,2,2,9,2,9,9,9,1,1,1,2,2,2,9,2,9,9,9,2,9,9,9,9,9,9,9
"Smith, Donald",Liberal Party of Canada,Nova Scotia,"St-Laurent, Louis Stephen",1955.07.28 - 1980.07.07 ,1955.07.28 , 1980.07.07 ,(Resignation),2,2,2,9,9,2,2,9,1,2,1,9,1,2,2,2,1,2,2,2,1,9,2,2,1,9,9,9,9,9,9
"Fournier, Sarto",Liberal Party of Canada,Quebec,"St-Laurent, Louis Stephen",1953.06.12 - 1980.07.23 ,1953.06.12 , 1980.07.23 ,(Death),9,9,2,9,2,2,2,9,1,2,1,2,1,9,9,9,2,2,2,2,1,2,2,2,1,2,9,9,9,9,9
"Fournier, Joseph Michel",Liberal Party of Canada,New Brunswick,"Trudeau, Pierre Elliott",1971.12.09 - 1980.09.29 ,1971.12.09 , 1980.09.29 ,(Retirement),2,2,2,2,2,2,2,9,1,2,1,1,1,2,1,1,1,1,2,9,1,2,2,2,1,9,2,1,1,2,2
"Norrie, Margaret Rosamond Fawcett",Liberal Party of Canada,Nova Scotia,"Trudeau, Pierre Elliott",1972.04.27 - 1980.10.16 ,1972.04.27 , 1980.10.16 ,(Retirement),2,2,2,2,2,2,2,1,1,2,1,1,1,2,1,2,1,1,2,9,1,2,2,2,9,9,9,9,9,2,2
"Eudes, Raymond Pierre",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1968.04.08 - 1980.10.25 ,1968.04.08 , 1980.10.25 ,(Death),9,9,2,2,2,2,2,9,1,2,1,2,1,2,1,1,1,2,2,9,9,9,2,9,9,9,9,9,9,9,9
"Choquette, Lionel Henri",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1958.01.31 - 1981.03.06 ,1958.01.31 , 1981.03.06 ,(Resignation),1,1,1,1,1,1,1,9,2,1,2,9,9,9,9,1,1,1,9,9,9,9,1,1,2,9,9,1,2,9,9
"Paterson, Norman McLeod",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1940.02.09 - 1981.06.18 ,1940.02.09 , 1981.06.18 ,(Resignation),9,9,9,9,9,9,9,9,9,2,9,2,9,2,1,9,9,9,9,9,9,9,2,2,9,9,9,9,9,9,9
"Connolly, John Joseph",Liberal Party of Canada,Ontario,"St-Laurent, Louis Stephen",1953.06.12 - 1981.10.31 ,1953.06.12 , 1981.10.31 ,(Resignation),2,2,9,9,2,9,9,9,9,2,1,1,9,2,9,2,2,2,2,2,9,9,2,2,9,2,2,9,1,9,9
"Grosart, Allister, H.G.",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1962.09.24 - 1981.12.13 ,1962.09.24 , 1981.12.13 ,(Resignation),1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,9,9,9,9,9,1,1
"Laird, John Keith McBroom",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1967.04.06 - 1982.01.12 ,1967.04.06 , 1982.01.12 ,(Retirement),9,9,9,9,2,9,9,2,9,1,1,9,1,2,9,2,1,1,9,2,1,9,2,2,9,9,9,9,9,2,2
"Hays, Harry William",Liberal Party of Canada,Alberta,"Pearson, Lester Bowles",1966.02.24 - 1982.05.04 ,1966.02.24 , 1982.05.04 ,(Death),9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,1,1,9,9,9,9,2,2,9,9,9,9,9,9,9
"Williams, Guy R.",Liberal Party of Canada,British Columbia,"Trudeau, Pierre Elliott",1971.12.09 - 1982.10.07 ,1971.12.09 , 1982.10.07 ,(Retirement),2,2,9,9,9,9,9,9,9,9,1,2,1,2,9,1,1,1,2,2,1,2,2,2,1,9,9,9,9,2,2
"Goldenberg, Carl H.",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1971.11.04 - 1982.10.20 ,1971.11.04 , 1982.10.20 ,(Retirement),9,9,9,2,2,9,2,2,1,9,1,1,1,9,9,2,2,2,9,2,9,9,9,9,9,9,9,9,9,2,2
"Smith, George Isaac",Progressive Conservative Party,Nova Scotia,"Trudeau, Pierre Elliott",1975.08.07 - 1982.12.19 ,1975.08.07 , 1982.12.19 ,(Death),99,99,99,99,99,1,1,1,9,1,9,2,2,1,1,1,1,1,1,1,2,1,1,1,2,9,9,9,9,1,1
"Bird, Florence Bayard",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1978.03.23 - 1983.01.15 ,1978.03.23 , 1983.01.15 ,(Retirement),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,1,9,2,2,1,9,2,1,2,2,2
"Fournier, Edgar E.",Progressive Conservative Party,New Brunswick,"Diefenbaker, John George",1962.09.24 - 1983.02.11 ,1962.09.24 , 1983.02.11 ,(Resignation),9,9,9,1,9,9,9,9,9,1,2,2,9,1,1,1,1,1,9,1,2,1,1,1,2,1,1,1,2,9,9
"Lamontagne, Maurice",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1967.04.06 - 1983.06.12 ,1967.04.06 , 1983.06.12 ,(Death),2,9,2,9,9,2,2,9,9,2,1,1,1,9,9,2,2,2,2,9,9,9,9,2,1,2,2,9,1,2,2
"McIlraith, George James",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1972.04.27 - 1983.07.29 ,1972.04.27 , 1983.07.29 ,(Retirement),2,2,2,2,2,2,2,2,2,2,9,1,1,2,1,2,2,2,2,2,9,2,2,2,1,9,2,1,9,2,2
"Manning, Ernest Charles",Social Credit Party,Alberta,"Trudeau, Pierre Elliott",1970.10.07 - 1983.09.20 ,1970.10.07 , 1983.09.20 ,(Retirement),9,9,9,9,9,9,9,9,9,9,2,2,1,2,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Hayden, Salter Adrian",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1940.02.09 - 1983.11.01 ,1940.02.09 , 1983.11.01 ,(Resignation),2,9,2,9,9,2,2,9,9,1,1,9,1,2,9,2,2,2,9,1,1,9,9,2,9,9,9,9,9,2,2
"Marchand, Jean",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1976.12.09 - 1983.12.15 ,1976.12.09 , 1983.12.15 ,(Resignation),99,99,99,99,99,99,99,99,99,99,99,99,1,9,9,2,2,2,9,2,1,2,9,2,9,9,9,9,9,9,9
"Cook, Eric",Liberal Party of Canada,Newfoundland and Labrador,"Pearson, Lester Bowles",1964.02.14 - 1984.07.26 ,1964.02.14 , 1984.07.26 ,(Resignation),2,2,9,2,2,2,2,2,2,2,9,9,1,1,1,1,2,2,2,2,2,1,2,2,1,2,9,1,1,2,2
"Riley, Daniel Aloysius",Liberal Party of Canada,New Brunswick,"Trudeau, Pierre Elliott",1973.12.21 - 1984.09.13 ,1973.12.21 , 1984.09.13 ,(Death),9,2,9,2,2,2,2,9,1,1,1,9,1,9,9,2,1,1,2,9,9,1,2,2,2,9,2,1,1,2,2
