Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H02S1V001,H02S1V002,H02S1V003,H02S1V004,H02S1V005,H02S1V006,H02S1V007,H02S1V008,H02S1V009,H02S1V010,H02S1V011,H02S1V012,H02S1V013,H02S1V014,H02S1V015,H02S1V016,H02S1V017,H02S1V018,H02S1V019,H02S1V020,H02S1V021,H02S1V022,H02S1V023,H02S1V024,H02S1V025,H02S1V026,H02S1V027,H02S1V028,H02S1V029,H02S1V030,H02S1V031,H02S1V032,H02S1V033,H02S1V034,H02S1V035,H02S1V036,H02S1V037,H02S1V038,H02S1V039
172,DIGBY,Nova Scotia,1867 - 1914,2,1872.10.12,2742,c4be0cab-7dab-454e-bfdd-593431c70033,"SAVARY, Alfred William",accl.,,Conservative (1867-1942),"Editor, lawyer",Protestant,0,2,,,,,,,,,,,,,2,1,2,9,9,9,2,9,2,2,1,9,9,9,9,9,2,1,9,9,2,1,2,1,2,1,2,9,2,1,2,2,2,1,2,1,2,1,1
181,DORCHESTER,Quebec,1867 - 1966,2,1872.10.12,2399,ab3915d1-c1a6-4e29-b141-bfaa125727e1,"LANGEVIN, Hon. Hector Louis",1044,0.5905,Conservative (1867-1942),"Editor, lawyer",Fr.Catholic,1,2,,1,,,,,,,,,,,2,1,2,1,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,1,2,1,2,1,2,1,2,2,2,1,2,2,2,1,2,1,2,1,1
183,DRUMMOND--ARTHABASKA,Quebec,1867 - 1966,2,1872.10.12,201,0f7cfb1c-aa93-4b15-b12d-51b79a05fad8,"DORION, Pierre-Neree",1251,0.4919,Liberal Party of Canada,Land surveyor,Fr.Catholic,1,1,,,,,,,,,,,,,1,2,1,2,2,2,1,1,2,1,2,1,1,2,1,2,1,2,1,9,1,2,1,2,1,2,1,1,1,2,9,9,9,2,1,1,1,2,9
186,DUNDAS,Ontario,1867 - 1924,2,1872.10.12,3233,ea2e45dc-6974-4076-bef2-6e7ff9b951ca,"GIBSON, William",1350,0.5168,Independent Liberal,Miller,Protestant,0,1,,,,,,,,,Scotland,,,,1,2,1,2,2,2,1,1,2,1,2,9,2,1,2,1,2,1,1,1,1,2,1,2,1,2,1,1,1,2,9,9,9,2,1,1,1,9,2
188,DURHAM EAST,Ontario,1867 - 1903,2,1872.10.12,1810,8238c39c-63a2-4fbc-b0e6-b7fb6e124f49,"ROSS, Lewis",1357,0.5485,Liberal Party of Canada,Merchant,Protestant,0,1,,,,,,,,,Scotland,,,,1,2,1,2,2,2,1,1,2,1,2,1,2,1,9,9,2,1,1,9,1,2,1,2,9,2,1,9,1,2,9,9,9,2,1,2,1,2,9
207,ELGIN EAST,Ontario,1867 - 1924,2,1872.10.12,1433,6893c89d-4a9a-40c8-abd6-3bd1fb6fa98e,"HARVEY, William",1658,0.5267,Liberal Party of Canada,Municipal councillor,Protestant,0,1,,,,,,,,,,,,,1,2,1,2,2,2,1,1,9,1,2,1,2,1,2,1,2,1,1,9,1,2,1,2,9,2,1,1,1,2,1,1,1,2,1,2,9,2,9
208,ELGIN WEST,Ontario,1867 - 1933,2,1872.10.12,477,22d58154-634c-42ca-b52c-6c59b10242bf,"CASEY, George Elliott",1115,0.5215,Liberal Party of Canada,"Author, journalist",Protestant,0,1,,,,,,,,,,,,,1,2,1,2,2,2,1,1,2,1,2,1,2,1,2,1,9,9,1,1,1,2,1,2,1,2,1,1,1,2,1,1,1,2,1,2,1,2,2
211,ESSEX,Ontario,1867 - 1882,2,1872.10.12,1556,715c07ae-d21b-4608-b9c3-cab810f535ba,"O'CONNOR, Hon. John",1999,0.6175,Conservative (1867-1942),Lawyer,Catholic,0,2,,1,,,,,,,United States,,,,2,1,2,1,9,9,2,9,2,2,1,1,9,9,9,9,9,9,2,9,9,9,2,1,9,1,2,9,2,1,9,9,9,9,2,1,2,1,1
228,FRONTENAC,Ontario,1867 - 1924,2,1872.10.12,725,3550a98c-e921-48ae-a874-12b2e2dc96d5,"KIRKPATRICK, George Airey",accl.,,Conservative (1867-1942),Lawyer,Protestant,0,2,,,,,,,,,,,,,2,1,2,9,2,2,2,9,9,9,9,1,2,1,9,9,2,1,2,1,9,9,2,1,9,1,9,2,2,1,2,9,9,1,9,9,9,9,9
235,GASPE,Quebec,1867 - 1996,2,1872.10.12,120,0a0c948f-dd65-4b69-b1d0-3f8a3366d907,"FORTIN, Peter",accl.,,Conservative (1867-1942),"Physician, surgeon",Fr.Catholic,1,2,,,,,,,,,,,,,2,1,2,1,1,1,2,2,9,9,9,9,9,9,1,2,1,2,2,2,2,1,2,1,2,1,2,2,2,1,2,9,9,1,2,1,2,1,9
238,GLENGARRY,Ontario,1867 - 1914,2,1872.10.12,1849,84a597b4-d27f-4473-8c65-7ccc5aaf5e13,"MACDONALD, Donald Alexander",1289,0.8698,Liberal Party of Canada,"Contractor, merchant",Catholic,0,2,,,,,,,,,,,,,9,9,9,9,9,9,9,9,9,9,9,1,2,1,1,2,9,9,9,9,1,2,1,2,9,2,1,1,1,2,1,1,1,9,1,2,1,9,9
243,GLOUCESTER,New Brunswick,1867 - 1990,2,1872.10.12,1609,74c6898b-a605-4725-8317-d85792bd590b,"ANGLIN, Timothy Warren",1436,0.8081,Liberal Party of Canada,"Newspaper editor, newspaper owner",Catholic,0,2,,,,,,,,,Ireland,,,,1,2,1,2,2,2,1,9,9,9,9,9,9,9,1,2,1,2,1,1,1,2,1,2,9,2,1,1,1,2,1,1,1,2,2,2,1,2,9
248,GRENVILLE SOUTH,Ontario,1867 - 1903,2,1872.10.12,2101,969591d1-5aa7-40bb-8ee6-cf8270d81faa,"BROUSE, William Henry",951,0.5234,Liberal Party of Canada,Physician,Protestant,0,1,,,,,,,,,,,,,1,2,9,9,2,2,1,1,1,1,2,1,2,1,9,9,9,9,1,1,1,2,1,2,9,2,1,1,1,2,9,9,9,9,1,1,9,2,9
251,GREY EAST,Ontario,1872 - 1914,2,1872.10.12,354,19d911c0-3646-4d28-8732-c376dba765a3,"FLESHER, William Kingston",1402,0.6206,Conservative (1867-1942),Miller,Protestant,0,1,,,,,,,,,England,,,,2,1,2,1,2,2,2,1,9,9,9,1,2,1,2,1,2,1,2,1,2,1,2,1,9,1,9,9,2,1,9,9,9,1,2,1,2,9,9
252,GREY NORTH,Ontario,1867 - 1966,2,1872.10.12,2655,becffa6e-f972-4e09-af04-bc6d9f4a5037,"SNIDER, George",1124,0.5335,Liberal Party of Canada,Crown lands agent,Protestant,0,2,,,,,,,,,,,,,1,2,1,2,2,2,1,1,2,1,2,1,9,9,2,1,2,1,1,9,1,2,1,2,9,2,1,1,1,2,9,9,9,2,1,2,1,9,9
