Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H02S1V001,H02S1V002,H02S1V003,H02S1V004,H02S1V005,H02S1V006,H02S1V007,H02S1V008,H02S1V009,H02S1V010,H02S1V011,H02S1V012,H02S1V013,H02S1V014,H02S1V015,H02S1V016,H02S1V017,H02S1V018,H02S1V019,H02S1V020,H02S1V021,H02S1V022,H02S1V023,H02S1V024,H02S1V025,H02S1V026,H02S1V027,H02S1V028,H02S1V029,H02S1V030,H02S1V031,H02S1V032,H02S1V033,H02S1V034,H02S1V035,H02S1V036,H02S1V037,H02S1V038,H02S1V039
843,YORK EAST,Ontario,1867 - 1903,2,1872.10.12,2691,c12e446a-2d27-4f36-94a0-3ba85173c738,"METCALFE, James",accl.,,Liberal Party of Canada,"Building contractor, financier, real estate broker",Protestant,0,2,,,,,,,,,England,,,,1,2,1,2,2,2,1,9,2,1,2,1,2,1,2,1,2,1,1,1,1,2,1,2,1,2,1,1,1,2,9,9,9,2,1,2,1,9,9
846,YORK NORTH,Ontario,1867 - 2003,2,1872.10.12,564,295d13ed-e70d-403f-b670-61cf5ba9e1c6,"DODGE, Anson Green Phelps",1769,0.5428,Conservative (1867-1942),Lumber merchant,Protestant,0,1,,,,,,,,,United States,,,,2,1,2,1,9,9,9,1,2,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
847,YORK WEST,Ontario,1867 - 1903,2,1872.10.12,19,020201b3-733e-4827-b4e3-261206539334,"BLAIN, David",973,0.5615,Liberal Party of Canada,"Lawyer, teacher",Protestant,0,1,,,,,,,,,Scotland,,,,1,2,1,2,2,2,1,1,2,1,2,9,9,9,2,1,2,1,1,1,1,2,1,2,1,2,1,9,1,2,9,9,9,9,9,9,9,9,9
678,SHELBURNE,Nova Scotia,1867 - 1892,2,1872.10.12-1872.12.31,1499,6d780f26-7b0e-4dc9-b341-e538e67ef459,"COFFIN, Thomas",accl.,,Liberal-Conservative,"Merchant, shipbuilder, shipowner",Protestant,0,2,1,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
793,WELLAND,Ontario,1867 - 1987,2,1872.10.12-1872.09.06,783,391368fc-78bf-4fde-87e4-75a36472a4b6,"STREET, Thomas Clark",1590,0.6,Conservative (1867-1942),Lawyer,Protestant,0,2,,,,,,,,,,Died in office: 1872.09.06,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
51,BONAVENTURE,Quebec,1867 - 1971,2,1872.10.12-1873.01.29 and 1873.02.15- ,813,3b58dc20-16d2-4716-bfaf-7753140df5c8,"ROBITAILLE, Theodore",999,0.8102,Conservative (1867-1942),Physician,Fr.Catholic,1,2,,1,,,,,,,,Resignation. Appointed Receiver General: 1873.01.29,,,2,1,2,1,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,1,2,1,2,1,2,1,2,2,2,1,2,2,2,1,2,1,2,1,1
578,QUEBEC COUNTY,Quebec,1867 - 1924,2,1872.10.12-1873.02.19,1746,7d682d0f-0bd2-49be-921a-96c53ddb73de,"CHAUVEAU, Hon. Pierre J.O.",1415,0.8174,Conservative (1867-1942),"Author, dean, lawyer, professor",Fr.Catholic,1,2,,,,,,,,,,Resignation. Called to the Senate: 1873.02.19,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
274,HANTS,Nova Scotia,1867 - 1924,2,1872.10.12-1873.04.30,1516,6e25d9b6-7455-4084-867c-3af7f11e590e,"HOWE, Hon. Joseph",accl.,,Liberal-Conservative,"Author, newspaper editor, newspaper owner",Protestant,0,2,,1,,,,,,,,Resignation. Appointed Lieutenant-Governor of Nova Scotia: 1873.04.30,,,2,1,2,1,9,9,2,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
574,PROVENCHER,Manitoba,1871 - ,2,1872.10.12-1873.05.20,1402,66c92977-b6c2-4840-809e-571849b07e01,"CARTIER, Hon. Sir George Etienne",accl.,,Liberal-Conservative,Lawyer,Fr.Catholic,1,2,,,,,,,,,,Died in office: 1873.05.20,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99
514,ONTARIO SOUTH,Ontario,1867 - 1924,2,1872.10.12-1873.06.13 and 1873.07.07,2100,968ebad3-28e8-433f-8bde-2838bdafcbd8,"GIBBS, Thomas Nicholson",1466,0.5164,Liberal-Conservative,"Manufacturer, merchant, produce dealer",Protestant,0,2,,1,,,,,,,,Resignation. Appointed Secretary of State for the Provinces: 1873.06.13,,,2,1,2,9,1,1,2,2,2,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,1,2,2,2,1,2,1,2,1,1
122,CARLETON,New Brunswick,1867 - 1914,2,1872.10.12-1873.06.28,2227,9fad0f74-f473-4570-9220-f7977c382eab,"CONNELL, Hon. Charles",accl.,,Liberal Party of Canada,Merchant,Protestant,0,2,,,,,,,,,,Died in office: 1873.06.28,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
383,LAVAL,Quebec,1867 - 1914,2,1872.10.12-1873.10.06,3032,d98ab170-0921-418f-9b81-2ffb7b62ac32,"BELLEROSE, Joseph-Hyacinthe",accl.,,Conservative (1867-1942),Businessman,Fr.Catholic,1,2,,,,,,,,,,Resignation. Called to the Senate: 1873.10.06,,,2,1,2,1,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,2,2,1,2,1,2,1,2,1,2,1,2,2,2,1,2,1,2,9,9
147,CITY OF ST. JOHN,New Brunswick,1867 - 1914,2,1872.10.12-1873.11.04,2958,d5293278-d551-4e30-9a90-b75bbbe4ede9,"TILLEY, Hon. Samuel Leonard",1765,0.5903,Liberal-Conservative,Pharmacist,Protestant,0,2,,1,,,,,,,,Resignation. Appointed Lieutenant-Governor of New Brunswick: 1873.11.04,,,2,1,2,1,2,2,2,1,2,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,1,2,2,2,1,2,1,2,1,1
743,WEST TORONTO,Ontario,1867 - 1903,2,1872.10.12-1873.11.04,812,3b454f19-b820-41bb-85ae-b5014686df61,"CRAWFORD, John",1043,0.645,Conservative (1867-1942),Lawyer,Protestant,0,2,,,,,,,,,Ireland,Resignation. Appointed Lieutenant-Governor of Ontario: 1873.11.04,,,2,1,2,1,1,1,2,2,2,2,1,1,2,1,2,1,2,1,2,9,2,1,2,1,2,1,2,2,2,1,2,2,2,9,9,9,9,9,9
518,OTTAWA (CITY OF),Ontario,,2,1872.10.12-1874.01.24,2809,c9633cd0-f77b-409b-8c35-e04bd0f1c84b,"LEWIS, John Bower",accl.,,Conservative (1867-1942),Lawyer,Protestant,0,1,,,,,,,,,France,Died in office: 1874.01.24,,,9,9,1,1,1,1,2,2,2,2,1,1,2,1,2,1,2,1,1,2,2,1,2,1,9,1,9,1,2,1,9,9,9,2,2,1,2,1,1
268,HAMILTON,Ontario,1867 - 1903,2,1872.10.12,670,31be2e6c-4dbe-48f3-a041-fe2c0bde3a04,"WITTON, Henry B.",1422,0.2569,Conservative (1867-1942),Painter,Protestant,0,1,,,,,,,,,England,,,,2,1,2,1,2,2,2,1,2,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,1,2,2,2,1,2,1,2,1,9
549,PETERBOROUGH WEST,Ontario,1867 - 1952,2,1872.10.12,2853,cc73c1bc-f197-4dca-96a5-c71ca267a793,"CLUXTON, William",designated,,Conservative (1867-1942),Businessman ,Protestant,0,1,,,,,,,,,Ireland,,,,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,1,9,9,9,1,2,1,2,1,1
107,CAPE BRETON,Nova Scotia,1867 - 1903,2,1872.10.12-1872.12.31,471,22832b32-9296-43b7-92b1-0d910b170d7d,"MACKAY, Newton L.",1240,0.303,Conservative (1867-1942),Lawyer,Unknown,0,1,1,,,1,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
16,ANTIGONISH,Nova Scotia,1867 - 1914,2,1872.10.12-1873.06.13 and 1873.07.07-1873.11.04,1130,6536a4c3-e116-42ec-9feb-dfed6fe7b51f,"MCDONALD, Hugh",accl.,,Liberal-Conservative,Lawyer,Catholic,0,2,,1,,,,,,,,Resignation. Appointed President of the Privy Council: 1873.06.13 and Resignation. Appointed Puisne Judge of the Supreme Court of Nova Scotia: 1873.11.04,,,9,9,9,1,9,9,2,9,2,2,1,9,1,2,1,2,1,2,9,1,2,1,2,1,9,1,2,1,2,1,9,9,9,1,9,9,9,9,9
793,WELLAND,Ontario,1867 - 1987,2,1872.11.23,2419,ad1acecd-dc43-49a6-9c7d-42303b932369,"THOMSON, William Alexander",1539,0.5098,Liberal Party of Canada,"Author, railway promoter",Protestant,0,1,,,,,,,,,Scotland,,,,9,9,9,9,9,9,1,1,9,1,2,9,2,1,9,9,2,1,9,9,1,2,1,2,9,2,1,9,9,9,9,9,9,2,9,9,9,9,9
107,CAPE BRETON,Nova Scotia,1867 - 1903,2,1873.01.01-,471.1,22832b32-9296-43b7-92b1-0d910b170d7d,"MACKAY, Newton L.",1240,0.303,Liberal Party of Canada,,Unknown,0,1,,,,,,,,,,,,,2,1,2,1,2,2,2,2,2,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,9,1,2,2,2,1,2,2,2,1,2,1,2,9,9
678,SHELBURNE,Nova Scotia,1867 - 1892,2,1873.01.01-1873.11.06,1499.1,6d780f26-7b0e-4dc9-b341-e538e67ef459,"COFFIN, Thomas",accl.,,Liberal Party of Canada,,Protestant,0,2,,,,,,,,,,Resignation. Appointed Receiver General: 1873.11.06,,,1,2,2,9,2,2,2,9,2,2,1,1,2,1,2,1,9,9,2,9,2,1,2,1,2,1,2,2,9,9,2,2,2,2,2,1,2,1,1
578,QUEBEC COUNTY,Quebec,1867 - 1924,2,1873.03.28,197,0f4d2c30-e6ab-43ec-9847-0a7006e3877d,"CARON, Joseph-Philippe-Rene-Adolphe",accl.,,Conservative (1867-1942),Lawyer,Fr.Catholic,1,1,,,,,,,,,,,,,99,99,99,99,99,99,2,9,2,2,1,1,1,2,1,2,1,2,2,9,2,1,2,1,9,1,9,1,2,1,2,2,2,1,2,1,2,1,1
189,DURHAM WEST,Ontario,1867 - 1903,2,1873.04.10,2886,ceec0819-54c8-4ee5-b300-a03c44d2353d,"WOOD, Edmund Burke",accl.,,Liberal Party of Canada,"Judge, lawyer",Protestant,0,2,,,,,,,,,,,,,99,99,99,99,99,99,99,99,9,9,9,1,2,1,2,1,9,9,1,1,9,9,1,2,1,2,1,1,1,2,9,9,9,2,1,2,1,2,2
274,HANTS,Nova Scotia,1867 - 1924,2,1873.07.05,1618,753efae0-7c22-4d1c-a2f2-1142bdb0a226,"GOUDGE, Monson Henry",accl.,,Liberal Party of Canada,Merchant,Unknown,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
338,KING'S COUNTY,Prince Edward Island,1873 - 1892,2,1873.09.29,1125,5350e5c0-3679-448f-825f-521909aaa2cd,"DAVIES, Daniel",accl.,,Conservative (1867-1942),"Merchant, shipbuilder",Protestant,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
338,KING'S COUNTY,Prince Edward Island,1873 - 1892,2,1873.09.29,1979,8e3a7ff5-89b4-4bee-a3fa-022627380dc4,"MACDONALD, Augustine Colin",accl.,,Liberal-Conservative,Merchant,Protestant,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
566,PRINCE COUNTY,Prince Edward Island,1873 - 1892,2,1873.09.29,833,3cc08a0d-b6a3-40fa-9b80-99402795a735,"YEO, James",accl.,,Liberal Party of Canada,"Merchant, shipbuilder, shipowner",Protestant,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
566,PRINCE COUNTY,Prince Edward Island,1873 - 1892,2,1873.09.29,3306,efa62b1b-8e80-42f3-9b10-fa6e586ff18b,"POPE, James Colledge",accl.,,Conservative (1867-1942),"Merchant, shipbuilder, shipowner",Protestant,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
588,QUEEN'S COUNTY,Prince Edward Island,1873 - 1892,2,1873.09.29,685,328fafd1-42b3-468c-8cc3-f541c1a5defb,"SINCLAIR, Peter.",accl.,,Liberal Party of Canada,Farmer,Protestant,0,1,,,,,,,,,Scotland,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
588,QUEEN'S COUNTY,Prince Edward Island,1873 - 1892,2,1873.09.29,3042,da651ba4-0b7a-4456-94c0-d399cc81e12c,"LAIRD, David",accl.,,Liberal Party of Canada,"Editor, journalist",Protestant,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
574,PROVENCHER,Manitoba,1871 - ,2,1873.10.13,2475,b171f2b7-238a-4a42-9f32-bd0924d63a1a,"RIEL, Louis",accl.,,Independent,"Author, m_tis leader, teacher",Fr.Catholic,1,1,,,,,,,,Metis,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
383,LAVAL,Quebec,1867 - 1914,2,1873.10.28,811,3b439282-558f-41b7-8ca0-55b642ce12a9,"OUIMET, Joseph-Alderic",accl.,,Liberal-Conservative,Lawyer,Fr.Catholic,1,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
147,CITY OF ST. JOHN,New Brunswick,1867 - 1914,2,1873.12.01,1238,5a391d61-b677-4382-ab81-615cf034059e,"DE VEBER, Jeremiah Smith Boies",accl.,,Liberal Party of Canada,Businessman,Protestant,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
743,WEST TORONTO,Ontario,1867 - 1903,2,1873.12.18,1782,80cc7a02-5197-4836-a5f1-d9016e5ddc2c,"MOSS, Thomas",accl.,,Liberal Party of Canada,Lawyer,Protestant,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
16,ANTIGONISH,Nova Scotia,1867 - 1914,2,1873.12.20,2031,91b34223-231f-49fa-a1ac-54367b2f2c4f,"MCISAAC, Angus",accl.,,Liberal Party of Canada,Lawyer,Catholic,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
