Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S24S2V01,S24S3V01,S24S4V01,S24S4V02,S24S4V03,S24S4V04,S24S4V05,S24S4V06,S24S4V07
Date,,,,,,,,04.28.1959,05.31.1960,05.10.1961,05.23.1961,06.14.1961,07.07.1961,07.10.1961,07.12.1961,07.13.1961
Bill,,,,,,,yay=1;nay=2;paired=3;yes+no=4;yes+paired=5;no+paired=6;yes+no+paired=7;notvote=ENPTY;Abstention=8;Problem=9999,Motion of the Honourable Senator Wall: That the Standing Committee on Finance be instructed to study the threat of inflation in Canada and that it be empowered to summon persons to produce documents and to report from time to time.,"Motion to amend Article 6 of Bill S-24, intituled ""An Act respecting the Wabush Lake Railway Company Limited and the Company railway Arnaud.""","That the Bill S-16, intituled ""An Act to incorporate the National Mortgage Corporation of Canada,"" be not now read a third time but be referred back to the Standing Committee on Banking and Commerce.","Second reading of Bill S-4, intituledd ""An Act to provide disclosure of finance charges.""","Adoption of the report of the Standing Committee on Banking and Commerce on Bill C-72, intituled ""An Act to amend the Customs Tariff.""","The message on Bill C-72, intituled ""An Act to amend the Customs Tariff"" from the House of Commons to be considered at the next sitting of the Senate.
",Adjournment of this House.,"That the Senate do not insist on the amendment the Senate  made äó†äó†to Bill C-72, intituled  ""Act modifian the Customs Tariff"", which the House of Commons did not agree.","Adoption of the report of the Standing Committee on Banking and Commerce which was referred Bill C-114, intituled ""An Act respecting the Bank of Canada."""
"Power, Charles Gavan",Liberal Party of Canada,Quebec,"St-Laurent, Louis Stephen",1955.07.28 - 1968.05.30 ,1955.07.28 , 1968.05.30 ,(Death),9,9,9,1,9,9,9,9,9
"Pouliot, Jean-Franí_ois",Liberal Party of Canada,Quebec,"St-Laurent, Louis Stephen",1955.07.28 - 1968.06.28 ,1955.07.28 , 1968.06.28 ,(Resignation),1,2,1,1,9,1,1,2,9
"Smith, Sydney John",Liberal Party of Canada,British Columbia,"St-Laurent, Louis Stephen",1957.01.03 - 1968.12.31 ,1957.01.03 , 1968.12.31 ,(Resignation),1,2,2,2,1,1,1,2,1
"Vaillancourt, Cyrille",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1944.03.03 - 1969.01.03 ,1944.03.03 , 1969.01.03 ,(Resignation),1,2,9,1,1,1,1,2,1
"Beaubien, Arthur-Lucien",Liberal Party of Canada,Manitoba,"King, William Lyon Mackenzie",1940.01.29 - 1969.02.01 ,1940.01.29 , 1969.02.01 ,(Resignation),1,9,1,2,1,1,1,2,1
"Thorvaldson, Gunnar Solmundur",Progressive Conservative Party,Manitoba,"Diefenbaker, John George",1958.01.29 - 1969.08.02 ,1958.01.29 , 1969.08.02 ,(Death),9,2,2,2,2,9,2,1,2
"Irvine, Olive Lillian",Progressive Conservative Party,Manitoba,"Diefenbaker, John George",1960.01.14 - 1969.11.01 ,1960.01.14 , 1969.11.01 ,(Death),99,2,2,2,2,2,2,1,2
"Monette, Gustave",Progressive Conservative Party,Quebec,"Diefenbaker, John George",1957.10.12 - 1969.12.23 ,1957.10.12 , 1969.12.23 ,(Death),9,9,9,2,2,2,2,1,2
"Farris, John Wallace de Beque",Liberal Party of Canada,British Columbia,"King, William Lyon Mackenzie",1937.01.09 - 1970.02.25 ,1937.01.09 , 1970.02.25 ,(Death),9,9,9,9,9,9,1,9,9
"Leonard, Thomas D'Arcy",Liberal Party of Canada,Ontario,"St-Laurent, Louis Stephen",1955.07.28 - 1970.04.29 ,1955.07.28 , 1970.04.29 ,(Resignation),1,1,2,9,1,1,1,2,1
"Dessureault, Jean-Marie",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1945.06.09 - 1970.08.16 ,1945.06.09 , 1970.08.16 ,(Resignation),9,1,2,9,1,9,1,2,1
"Savoie, Calixte F.",Independent Liberal,New Brunswick,"St-Laurent, Louis Stephen",1955.07.28 - 1970.08.23 ,1955.07.28 , 1970.08.23 ,(Resignation),1,9,9,9,1,1,9,9,9
"Aseltine, Walter Morley",Progressive Conservative Party,Saskatchewan,"Bennett, Richard Bedford",1933.12.30 - 1971.03.31 ,1933.12.30 , 1971.03.31 ,(Resignation),2,2,2,2,2,2,2,1,2
"Pearson, Arthur Maurice",Progressive Conservative Party,Saskatchewan,"Diefenbaker, John George",1957.10.12 - 1971.03.31 ,1957.10.12 , 1971.03.31 ,(Resignation),2,9,2,2,2,2,2,1,2
"Gladstone, James",Independent Conservative,Alberta,"Diefenbaker, John George",1958.01.31 - 1971.03.31 ,1958.01.31 , 1971.03.31 ,(Resignation),2,9,9,9,2,2,2,9,9
"Hollett, Malcolm Mercer",Progressive Conservative Party,Newfoundland and Labrador,"Diefenbaker, John George",1961.10.06 - 1971.03.31 ,1961.10.06 , 1971.03.31 ,(Resignation),99,99,99,99,99,99,99,99,99
"MacDonald, John Joseph",Progressive Conservative Party,Prince Edward Island,"Diefenbaker, John George",1958.01.27 - 1971.04.20 ,1958.01.27 , 1971.04.20 ,(Resignation),9999,9999,9,2,2,2,2,1,9
"Kinley, John James",Liberal Party of Canada,Nova Scotia,"King, William Lyon Mackenzie",1945.04.18 - 1971.06.12 ,1945.04.18 , 1971.06.12 ,(Resignation),9,9,1,9,9,1,1,2,1
"Roebuck, Arthur Wentworth",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1945.04.18 - 1971.11.17 ,1945.04.18 , 1971.11.17 ,(Death),1,2,1,1,1,1,1,2,1
"Willis, Harry Albert",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1962.06.15 - 1972.03.23 ,1962.06.15 , 1972.03.23 ,(Death),99,99,99,99,99,99,99,99,99
"Mí©thot, Lí©on",Progressive Conservative Party,Quebec,"Diefenbaker, John George",1957.10.12 - 1972.08.06 ,1957.10.12 , 1972.08.06 ,(Death),2,2,2,2,2,2,2,1,2
"White, George Stanley",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1957.09.20 - 1972.11.17 ,1957.09.20 , 1972.11.17 ,(Resignation),2,2,2,9,9,9,9,9,9
"Isnor, Gordon Benjamin",Liberal Party of Canada,Nova Scotia,"St-Laurent, Louis Stephen",1950.05.02 - 1973.03.17 ,1950.05.02 , 1973.03.17 ,(Death),1,1,1,2,9,9,9,9,9
"Fergusson, Muriel McQueen",Liberal Party of Canada,New Brunswick,"St-Laurent, Louis Stephen",1953.05.19 - 1975.05.23 ,1953.05.19 , 1975.05.23 ,(Resignation),9,1,9,9,9,9,9,9,9
"Gouin, Lí©on Mercier",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1940.11.07 - 1976.03.18 ,1940.11.07 , 1976.03.18 ,(Resignation),9,2,2,9,9,1,1,2,1
"Boucher, William Albert",Liberal Party of Canada,Saskatchewan,"St-Laurent, Louis Stephen",1957.01.03 - 1976.06.23 ,1957.01.03 , 1976.06.23 ,(Death),1,9,1,2,1,9,9,9,9
"Blois, Frederick Murray",Progressive Conservative Party,Nova Scotia,"Diefenbaker, John George",1960.01.14 - 1976.10.12 ,1960.01.14 , 1976.10.12 ,(Resignation),99,9,2,2,2,9,2,1,2
"Lefraní_ois, J.-EugíÂne",Liberal Party of Canada,Quebec,"St-Laurent, Louis Stephen",1957.04.25 - 1976.11.05 ,1957.04.25 , 1976.11.05 ,(Resignation),1,1,1,1,1,9,9,9,9
"Basha, Michael G.",Liberal Party of Canada,Newfoundland and Labrador,"St-Laurent, Louis Stephen",1951.01.24 - 1976.11.18 ,1951.01.24 , 1976.11.18 ,(Resignation),1,2,1,1,1,9,1,2,9
"Burchill, George Percival",Liberal Party of Canada,New Brunswick,"King, William Lyon Mackenzie",1945.04.19 - 1977.08.19 ,1945.04.19 , 1977.08.19 ,(Resignation),9,9,9,1,1,1,1,2,9
"Haig, James Campbell",Progressive Conservative Party,Manitoba,"Diefenbaker, John George",1962.06.15 - 1977.12.29 ,1962.06.15 , 1977.12.29 ,(Resignation),99,99,99,99,99,99,99,99,99
"Connolly, Harold Joseph",Liberal Party of Canada,Nova Scotia,"St-Laurent, Louis Stephen",1955.07.28 - 1979.05.14 ,1955.07.28 , 1979.05.14 ,(Resignation),1,9,1,1,1,9,9,9,9
"Quart, Josie Alice",Progressive Conservative Party,Quebec,"Diefenbaker, John George",1960.11.16 - 1980.04.17 ,1960.11.16 , 1980.04.17 ,(Death),99,99,2,9,2,2,2,1,2
"Smith, Donald",Liberal Party of Canada,Nova Scotia,"St-Laurent, Louis Stephen",1955.07.28 - 1980.07.07 ,1955.07.28 , 1980.07.07 ,(Resignation),1,2,1,1,1,1,1,2,1
"Fournier, Sarto",Liberal Party of Canada,Quebec,"St-Laurent, Louis Stephen",1953.06.12 - 1980.07.23 ,1953.06.12 , 1980.07.23 ,(Death),9,9,1,2,9,9,1,2,1
"Choquette, Lionel Henri",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1958.01.31 - 1981.03.06 ,1958.01.31 , 1981.03.06 ,(Resignation),9,2,2,2,2,2,2,1,2
"Paterson, Norman McLeod",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1940.02.09 - 1981.06.18 ,1940.02.09 , 1981.06.18 ,(Resignation),9,9,9,9,1,9,1,2,1
"Connolly, John Joseph",Liberal Party of Canada,Ontario,"St-Laurent, Louis Stephen",1953.06.12 - 1981.10.31 ,1953.06.12 , 1981.10.31 ,(Resignation),1,1,9,2,1,1,1,2,1
"Hayden, Salter Adrian",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1940.02.09 - 1983.11.01 ,1940.02.09 , 1983.11.01 ,(Resignation),9,9,2,2,1,9,1,9,9
"Sullivan, Joseph Albert",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1957.10.12 - 1985.02.18 ,1957.10.12 , 1985.02.18 ,(Resignation),2,2,9,9,2,9,9,9,9
"Beaubien, Louis-Philippe",Progressive Conservative Party,Quebec,"Diefenbaker, John George",1960.11.16 - 1985.03.28 ,1960.11.16 , 1985.03.28 ,(Death),99,99,2,2,9,2,2,9,9
"Inman, Florence Elsie",Liberal Party of Canada,Prince Edward Island,"St-Laurent, Louis Stephen",1955.07.28 - 1986.05.31 ,1955.07.28 , 1986.05.31 ,(Death),9,9,9,9,9,1,1,2,1
"Cameron, Donald",Independent Liberal,Alberta,"St-Laurent, Louis Stephen",1955.07.28 - 1987.09.19 ,1955.07.28 , 1987.09.19 ,(Resignation),9,9,9,1,9,9,9,9,9
