Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H31S1V001,H31S1V002,H31S1V003,H31S1V004,H31S1V005,H31S1V006,H31S1V007,H31S1V008
,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,10.09.1979,10.11.1979,10.15.1979,10.25.1979,11.06.1979,12.04.1979,12.10.1979,12.13.1979
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=whipped, 0=non-whipped",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=Bill, 3=Motion, 5=Amendment",,,,,,,,
233,GAMELIN,Quebec,1966 - 1987,31,1979.05.22,839,3d803f27-9b53-40ed-b0a1-c836c7b6b0b3,"PORTELANCE, Arthur",30567,0.6793,Liberal Party of Canada,"Businessman, sales representative",,1,4,,,,,,,,,,,,,2,9,1,1,1,2,2,1
205,EGMONT,Prince Edward Island,1966 - ,31,1979.05.22,844,3dca74f6-5eb5-4526-befa-b79d37632453,"MACDONALD, David Samuel Horne",8861,0.5607,Progressive Conservative Party,"Author, clergyperson",,0,5,,1,,,,,,,,,,,2,2,2,2,2,1,1,2
1119,MOUNT ROYAL,Quebec,1966 - 1987,31,1979.05.22,857,3e66b4c9-6dae-4083-8d96-5d3f94979e94,"TRUDEAU, Pierre-Elliott",43202,0.8517,Liberal Party of Canada,"Lawyer, professor of law, writer",,1,5,,,,,,,,,,,,,2,2,1,1,1,2,9,1
764,VANCOUVER SOUTH,British Columbia,1914 - 1996,31,1979.05.22,884,402c56ca-0019-4905-903e-4ab16649e19b,"FRASER, John A.",22653,0.538,Progressive Conservative Party,"Barrister, barrister and solicitor, lawyer, military, military",,0,3,,1,,,,,,,Japan,,,,2,2,2,9,2,1,1,2
59,BOW RIVER,Alberta,1976 - 1987,31,1979.05.22,925,4354b438-9a7b-4fa7-ad25-e6847c4caf60,"TAYLOR, Gordon",25973,0.6307,Progressive Conservative Party,"Businessman, teacher",,0,1,,,,,,,,,,,,,2,2,2,2,2,1,1,2
676,SELKIRK--INTERLAKE,Manitoba,1976 - 1987,31,1979.05.22,942,446ade96-52db-45ed-8a0f-e5d43436b876,"SARGEANT, Terry",14225,0.427,New Democratic Party,"Office manager, personnel administrator, public policy consultant",,0,1,,,,,,,,,Australia,,,,2,1,1,9,1,2,2,1
731,TIMISKAMING,Ontario,1933 - 1993,31,1979.05.22,958,451d41d6-6f60-40ef-87f1-bd1aea75e8c2,"PETERS, Arnold",11595,0.4064,New Democratic Party,"Miner, representative",,0,9,,,,,,,,,,,,,1,1,1,1,1,9,2,1
319,JONQUIERE,Quebec,1976 - 2003,31,1979.05.22,967,45bcd670-d606-46f3-9335-bd4e5300b1a3,"MARCEAU, Gilles",21969,0.6271,Liberal Party of Canada,Lawyer,,1,4,,,,,,,,,,,,,2,2,1,1,1,9,2,1
667,SASKATOON EAST,Saskatchewan,1976 - 1987,31,1979.05.22,970,45e90540-93ee-4744-a312-0b927d261bda,"OGLE, Bob",15234,0.3688,New Democratic Party,"Missionary, priest",,0,1,,,,,,,,,,,,,2,1,1,9,1,9,2,1
720,TEMISCAMINGUE,Quebec,1966 - 1996,31,1979.05.22,973,464aff09-7152-4859-9376-4db24494bf2f,"TOUSIGNANT, Henri",16147,0.4132,Liberal Party of Canada,Industrialist,,1,1,,,,,,,,,,,,,2,2,1,1,1,2,2,1
