Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S35S1V01,S35S1V02,S35S1V03,S35S1V04,S35S1V05,S35S1V06,S35S1V07,S35S1V08,S35S1V09,S35S1V10,S35S1V11,S35S1V12,S35S1V13,S35S1V14,S35S1V15,S35S1V16,S35S2V001,S35S2V002,S35S2V003,S35S2V004,S35S2V005,S35S2V006,S35S2V007,S35S2V008,S35S2V009,S35S2V010,S35S2V011,S35S2V012,S35S2V013,S35S2V014,S35S2V015,S35S2V016,S35S2V017,S35S2V018,S35S2V019,S35S2V020,S35S2V021,S35S2V022,S35S2V023,S35S2V024,S35S2V025,S35S2V026,S35S2V027,S35S2V028,S35S2V029,S35S2V030,S35S2V031,S35S2V032,S35S2V033,S35S2V034,S35S2V035,S35S2V036,S35S2V037,S35S2V038
"Thí©riault, L. Norbert",Liberal Party of Canada,New Brunswick,"Trudeau, Pierre Elliott", 1979.03.26 - 1996.02.16 , 1979.03.26 , 1996.02.16 ,(Retirement),1,2,2,2,2,1,1,2,1,2,2,1,1,1,2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Olson, Horace Andrew (Bud)",Liberal Party of Canada,Alberta,"Trudeau, Pierre Elliott", 1977.04.05 - 1996.03.07 , 1977.04.05 , 1996.03.07 ,(Resignation),9,9,9,2,2,1,1,2,1,2,2,1,1,1,2,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Hastings, Earl Adams",Liberal Party of Canada,Alberta,"Pearson, Lester Bowles", 1966.02.24 - 1996.05.05 , 1966.02.24 , 1996.05.05 ,(Death),9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Davey, Keith Douglas",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles", 1966.02.24 - 1996.07.01 , 1966.02.24 , 1996.07.01 ,(Resignation),9,9,9,9,9,1,1,2,1,2,2,1,1,1,2,2,1,1,9,9,1,2,1,2,1,1,2,1,1,2,2,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"MacEachen, Allan Joseph",Liberal Party of Canada,Nova Scotia,"Trudeau, Pierre Elliott", 1984.06.29 - 1996.07.06 , 1984.06.29 , 1996.07.06 ,(Retirement),1,2,2,2,9,1,1,2,1,2,2,1,1,1,2,2,1,1,2,1,1,2,1,2,1,1,2,1,1,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Roux, Jean-Louis",Liberal Party of Canada,Quebec,"Chrí©tien, Joseph Jacques Jean", 1994.08.31 - 1996.08.08 , 1994.08.31 , 1996.08.08 ,(Resignation),99,99,99,99,2,9,9,9,1,2,2,1,1,1,2,2,1,1,2,1,9,2,1,2,1,1,2,1,1,2,2,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Riel, Maurice",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott", 1973.10.05 - 1997.04.03 , 1973.10.05 , 1997.04.03 ,(Retirement),1,2,2,9,9,1,1,2,1,2,2,1,9,9,9,2,1,1,2,1,1,2,1,2,1,1,2,1,1,2,2,1,2,2,2,9,9,9,9,9,9,9,2,9,2,2,2,2,99,99,99,99,99,99
"Landry, Joseph Gí©rard Lauri P.",Liberal Party of Canada,New Brunswick,"Chrí©tien, Joseph Jacques Jean", 1996.02.26 - 1997.06.19 , 1996.02.26 , 1997.06.19 ,(Retirement),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,1,2,1,1,2,1,2,1,1,2,1,1,2,2,1,2,2,2,1,2,2,1,2,2,2,2,9,2,2,2,2,2,2,2,2,1,2
"Macdonald, John Michael",Progressive Conservative Party,Nova Scotia,"Diefenbaker, John George", 1960.06.24 - 1997.06.20 , 1960.06.24 , 1997.06.20 ,(Death),9,9,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"Charbonneau, Guy",Progressive Conservative Party,Quebec,"Clark, Charles Joseph", 1979.09.27 - 1997.06.21 , 1979.09.27 , 1997.06.21 ,(Retirement),2,1,1,1,9,9,9,9,9,9,9,9,2,2,9,9,9,9,9,9,2,1,2,9,2,9,1,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,8,1,8,9
"Anderson, Doris Margaret",Liberal Party of Canada,Prince Edward Island,"Chrí©tien, Joseph Jacques Jean", 1995.09.21 - 1997.07.05 , 1995.09.21 , 1997.07.05 ,(Retirement),99,99,99,99,99,99,99,99,1,2,2,1,1,1,2,2,1,1,2,9,9,9,9,2,1,1,2,1,1,2,2,1,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2
"Rizzuto, Pietro",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott", 1976.12.23 - 1997.08.03 , 1976.12.23 , 1997.08.03 ,(Death),1,2,2,9,2,9,9,9,1,2,2,1,1,1,2,2,1,1,2,9,9,9,9,2,1,1,2,1,1,2,2,1,9,9,9,1,2,2,1,2,2,2,2,9,2,2,2,2,2,9,9,9,9,2
"Twinn, Walter",Progressive Conservative Party,Alberta,"Mulroney, Martin Brian", 1990.09.27 - 1997.10.30 , 1990.09.27 , 1997.10.30 ,(Death),9,9,9,9,9,9,9,9,2,1,1,2,2,2,9,9,2,9,9,9,9,9,9,9,2,9,1,2,2,1,1,2,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,1,1,9
"Bonnell, M. Lorne",Liberal Party of Canada,Prince Edward Island,"Trudeau, Pierre Elliott", 1971.11.04 - 1998.01.04 , 1971.11.04 , 1998.01.04 ,(Retirement),1,2,2,2,9,1,1,2,1,2,2,1,1,1,2,2,1,1,2,9,1,2,1,2,1,1,2,1,1,2,2,1,2,2,2,1,2,2,1,2,2,2,9,1,2,2,2,2,9,2,2,2,1,2
