Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H23S1V001,H23S1V002,H23S1V003,H23S1V004,H23S1V005,H23S1V006,H23S1V007,H23S1V008,H23S1V009,H23S1V010,H23S1V011,H23S1V012,H23S1V013,H23S1V014,H23S1V015,H23S1V016,H23S1V017,H23S1V018
,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,10.17.1957,10.29.1957,11.11.1957,11.14.1957,11.15.1957,11.15.1957,11.19.1957,12.02.1957,12.10.1957,12.12.1957,12.13.1957,01.07.1958,01.21.1958,01.21.1958,01.23.1958,01.24.1958,01.29.1958,01.31.1958
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=whipped, 0=non-whipped",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=Bill, 3=Motion, 5=Amendment",,,,,,,,,,,,,,,,,,
707,STORMONT,Ontario,1924 - 1966,23,1957.06.10,758,37afe808-863a-40ce-ad8e-117356b0867c,"LAVIGNE, Albert Peter",12505,0.5352,Liberal Party of Canada,Retail merchant,,0,2,,,,,,,,,,,,,9,9,2,2,2,2,9,2,2,1,9,2,2,1,9,9,2,1
206,ELGIN,Ontario,1933 - 1990,23,1957.06.10,764,381a3bd1-6a33-468b-9480-89ee67c77382,"MCBAIN, James Alexander",14822,0.5991,Progressive Conservative Party,Farmer,,0,2,,,,,,,,,,,,,1,1,2,2,2,2,9,2,2,1,9,2,9,9,9,1,9,1
341,KINGSTON,Ontario,1952 - 1966,23,1957.06.10,818,3c0ada5b-9c56-44f1-ac05-a0a537a1c0a7,"HENDERSON, William James",14728,0.5125,Liberal Party of Canada,Farmer,,0,3,,,,,,,,,,,,,9,9,2,2,9,9,2,9,9,9,9,9,2,1,9,9,9,9
697,SPRINGFIELD,Manitoba,1914 - 1966,23,1957.06.10,819,3c273641-1e68-46da-b9f6-05ce50924c55,"SCHULZ, Jake",5949,0.3803,Co-operative Commonwealth Federation,Farmer,,0,1,,,,,,,,,Russia,,,,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,2,9,1
289,HULL,Quebec,1914 - 1984,23,1957.06.10,825,3c7abf33-5a24-4c46-87e9-5a6c9d457af5,"CARON, Alexis",15551,0.4466,Liberal Party of Canada,Insurance broker,,1,2,,,,,,,,,,,,,1,9,9,9,2,2,2,2,2,1,1,2,2,1,9,9,1,1
1265,ST. ANN,Quebec,1952 - 1966,23,1957.06.10,827,3c8558d4-2824-405e-99e9-65613d269bb4,"LOISELLE, Gerard",7771,0.4939,Independent Liberal,"Insurance broker, merchant",,1,1,,,,,,,,,,,,,9,9,2,2,2,2,2,9,2,9,9,9,2,1,2,1,1,1
484,NICKEL BELT,Ontario,1952 - ,23,1957.06.10,838,3d7acb9b-ac08-47e7-84f4-3c284d33edcb,"GAUTHIER, J. Leoda",8819,0.426,Liberal Party of Canada,Lumber merchant,,1,4,,,,,,,,,,,,,9,9,9,9,9,9,9,9,9,9,9,9,2,1,9,9,9,9
138,CHARLOTTE,New Brunswick,1867 - 1966,23,1957.06.10,876,3f8478c9-237c-49c9-b8d2-585121332655,"STUART, A. Wesley",6393,0.5262,Liberal Party of Canada,"Commercial fisherman, fisheries inspector, public servant",,0,4,,,,,,,,,,,,,1,2,9,9,2,2,9,1,2,9,9,2,2,1,9,9,2,1
36,BEAUCE,Quebec,1867 - ,23,1957.06.10,889,40ba4669-a139-42e4-b8ed-03be4bc8d762,"POULIN, Raoul",12384,0.5172,Independent,Physician,,1,3,,,,,,,,,,,,,1,1,9,2,1,1,2,2,2,1,9,2,2,2,9,9,2,1
90,BURNABY--RICHMOND,British Columbia,1947 - 1970,23,1957.06.10,949,44a1c5c2-98ba-442c-9bab-7f0f324070eb,"IRWIN, Thomas J.",7999,0.2604,Social Credit,Farmer,,0,1,,,,,,,,,Scotland,,,,1,1,1,2,9,9,1,1,2,1,1,9,9,9,9,9,9,9
401,LONDON,Ontario,1867 - 1966,23,1957.06.10,952,44e56019-054f-454f-bffd-55c0f1f3819a,"HALPENNY, G. Ernest",19804,0.5889,Progressive Conservative Party,Chemist,,0,1,,,1,,,,,,,,,,1,1,2,2,2,2,2,2,2,9,9,2,2,2,9,9,2,9
731,TIMISKAMING,Ontario,1933 - 1993,23,1957.06.10,958,451d41d6-6f60-40ef-87f1-bd1aea75e8c2,"PETERS, Arnold",6936,0.3561,Co-operative Commonwealth Federation,"Miner, representative",,0,1,,,,,,,,,,,,,1,9,9,1,1,1,1,9,1,1,1,1,1,2,1,2,1,1
859,YUKON,Yukon,1952 - ,23,1957.06.10,968,45db63ad-e84c-493f-b521-61484fc4af35,"SIMMONS, James Aubrey",2422,0.5067,Liberal Party of Canada,Notary,,0,3,,,,,,,,,,,,,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
