Riding.code,Riding,Province,Riding.history,Parliament.no,Term,Id.2,Id,Name,Total.vote,Percentage,Party.Name,Occupation,Religion,French,Length,switch.check,Ministry,Secretary,Change.party,Temporary.suspended.caucus,Excluded.caucus,Quit.caucus,First.Nations,Country.of.Birth,Note1,Note2,Bill.type,H18S1V001,H18S1V002,H18S1V003,H18S1V004,H18S1V005,H18S1V006,H18S1V007,H18S1V008,H18S1V009,H18S1V010,H18S1V011,H18S2V001,H18S2V002,H18S2V003,H18S2V004,H18S2V005,H18S2V006,H18S3V001,H18S3V002,H18S3V003,H18S3V004,H18S3V005,H18S3V006,H18S3V007,H18S3V008,H18S3V009,H18S3V010,H18S3V011,H18S4V001,H18S4V002,H18S4V003,H18S4V004,H18S4V005,H18S4V006,H18S4V007,H18S4V008,H18S4V009,H18S4V010,H18S4V011,H18S4V012,H18S4V013,H18S4V014,H18S5V001
,,,,,,,,,,,,,,,,,,,,,,,,,,,Date,02.13.1936,02.20.1936,02.27.1936,03.10.1936,05.12.1936,05.12.1936,06.01.1936,06.16.1936,06.16.1936,06.17.1936,06.18.1936,02.02.1937,02.19.1937,03.09.1937,03.12.1937,03.18.1937,03.19.1937,02.11.1938,02.16.1938,03.31.1938,03.31.1938,05.24.1938,05.31.1938,06.13.1938,06.14.1938,06.23.1938,06.23.1938,06.23.1938,02.02.1939,02.02.1939,02.07.1939,02.13.1939,02.13.1939,03.13.1939,03.16.1939,03.29.1939,04.11.1939,04.26.1939,05.03.1939,05.11.1939,05.23.1939,06.03.1939,09.12.1939
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=whipped, 0=non-whipped",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"1=Bill, 3=Motion, 5=Amendment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765,VANCOUVER--BURRARD,British Columbia,1924 - 1966,18,1935.10.14,433,1fa5151a-cf60-4833-969e-dab41c2525c1,"MCGEER, Gerald Grattan",10215,0.3631,Liberal Party of Canada,Barrister,,0,1,,,,,,,,,,,,,2,9,9,9,9,9,9,9,9,9,9,9,2,2,9,9,9,2,2,9,9,9,9,1,9,9,9,9,9,9,1,2,1,9,2,9,9,9,9,9,9,9,9
533,PARKDALE,Ontario,1914 - 1976,18,1935.10.14,436,1fd6461a-ee02-4d2c-880e-860b930c4499,"SPENCE, David",9619,0.3975,Conservative (1867-1942),Merchant,,0,5,,,,,,,,,Ireland,,,,2,1,2,9,2,2,9,2,1,1,2,1,2,1,9,1,9,1,1,1,1,1,1,9,2,2,1,2,2,9,2,1,1,9,1,2,1,9,1,2,9,1,2
76,BROME--MISSISQUOI,Quebec,1924 - 1966,18,1935.10.14,450,20acedc7-9346-4f62-842a-6bc9e7a9f81b,"GOSSELIN, Louis",8007,0.5327,Liberal Party of Canada,"Farmer, lawyer",,1,1,,,,,,,,,,,,,2,9,9,9,9,2,9,2,2,1,1,2,2,2,1,2,9,2,2,2,2,2,9,9,9,2,2,1,2,2,9,9,1,9,9,1,9,9,9,1,2,9,9
791,WATERLOO SOUTH,Ontario,1867 - 1966,18,1938.11.14,463,21ef4ab0-5bdb-4468-9c93-b860e974eed4,"HOMUTH, Karl",7776,0.5167,Conservative (1867-1942),Manufacturer,,0,1,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,1,2,1,1,1,1,2,9,1,1,2,9,9,2
677,SHEFFORD,Quebec,1867 - ,18,1935.10.14,474,22a65ead-44fc-4cb6-be1d-ef4d5705096b,"LECLERC, Joseph-Hermas",6925,0.5158,Liberal Party of Canada,Industrialist,,1,1,,,,,,,,,,,,,2,1,2,1,2,2,9,2,2,1,1,9,2,2,1,2,9,2,2,9,9,2,2,9,1,2,2,1,2,2,1,9,9,9,2,9,9,9,2,9,9,9,2
217,ESSEX WEST,Ontario,1924 - 1966,18,1935.10.14,476,22bf2cb3-ba5e-4d15-aa66-3b7cb8b7a216,"MCLARTY, Norman",11033,0.4201,Liberal Party of Canada,Barrister,,0,1,,1,,,,,,,,,,,2,1,2,1,2,2,1,2,2,1,1,9,2,2,9,9,9,2,2,2,2,9,2,1,1,2,2,1,2,2,1,2,1,1,2,1,1,2,2,1,2,9,2
683,SHERBROOKE,Quebec,1924 - ,18,1935.10.14,486,2383d6a2-7bc8-4d50-94b0-288e425fa899,"HOWARD, Charles Benjamin",9806,0.5498,Liberal Party of Canada,"Businessman, industrialist, lumber merchant",,0,4,,,,,,,,,,,,,9,9,2,1,9,2,9,2,2,1,1,9,9,2,9,9,9,9,2,2,2,9,9,9,9,2,2,1,2,2,1,9,9,1,9,1,1,2,2,1,9,9,2
601,RENFREW SOUTH,Ontario,1867 - 1966,18,1935.10.14,496,244e5dd5-8204-499b-b3f4-e73e59016198,"MCCANN, James J.",6054,0.5092,Liberal Party of Canada,Physician,,0,1,,,,,,,,,,,,,2,1,2,1,2,2,1,2,2,1,1,2,2,2,9,9,9,2,2,2,2,2,2,1,1,2,2,1,2,2,1,2,1,1,2,1,1,2,2,1,2,1,2
1238,CALGARY EAST,Alberta,1924 - 1952,18,1935.10.14,515,26174277-d040-4306-a5bc-d5c8b4c96097,"LANDERYOU, John Charles",8376,0.4658,Social Credit,Chef,,0,1,,,,,,,,,,,,,2,2,1,1,1,2,2,2,2,9,1,1,9,1,9,9,2,1,1,2,1,9,9,2,9,1,1,2,1,1,2,2,1,2,1,1,2,9,1,2,1,9,1
757,VANCOUVER CENTRE,British Columbia,1914 - ,18,1935.10.14,519,265c71ea-2b44-4000-8150-fde7d37d4577,"MACKENZIE, Hon. Ian Alistair",7658,0.3405,Liberal Party of Canada,Barrister,,0,2,,1,,,,,,,Scotland,,,,2,1,2,1,2,2,1,2,2,1,1,9,2,9,9,2,9,2,2,2,2,2,2,9,9,2,2,1,2,2,1,2,1,1,2,1,9,9,2,9,9,9,2
