Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S32S1V01,S32S1V02,S32S1V03,S32S1V04,S32S1V05,S32S1V06,S32S1V07,S32S1V08,S32S1V09,S32S1V10,S32S1V11,S32S1V12,S32S1V13,S32S1V14,S32S1V15,S32S1V16,S32S1V17,S32S1V18,S32S1V19,S32S1V20,S32S1V21,S32S1V22,S32S1V23,S32S1V24,S32S1V25,S32S1V26,S32S1V27,S32S1V28,S32S1V29,S32S1V30,S32S1V31,S32S1V32,S32S1V33,S32S1V34,S32S1V35,S32S1V36,S32S1V37,S32S1V38,S32S1V39,S32S1V40,S32S1V41,S32S1V42,S32S2V01,S32S2V02,S32S2V03,S32S2V04,S32S2V05
"Asselin, Martial",Progressive Conservative Party,Quebec,"Trudeau, Pierre Elliott",1972.09.01 - 1990.08.07 ,1972.09.01 , 1990.08.07 ,(Resignation),9,1,2,2,1,1,2,9,1,2,8,1,1,9,1,9,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,9,2,2,9,9,9,9,9,1,1,1,1,1,1,1
"Anderson, Margaret Jean",Liberal Party of Canada,New Brunswick,"Trudeau, Pierre Elliott",1978.03.23 - 1990.08.07 ,1978.03.23 , 1990.08.07 ,(Retirement),2,2,1,1,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,9,9,9,9,9,1,2,1,1,2,2,2,1,1,2,2,2,2,2,2,2
"Flynn, Jacques",Progressive Conservative Party,Quebec,"Diefenbaker, John George",1962.11.09 - 1990.08.22 ,1962.11.09 , 1990.08.22 ,(Resignation),9,1,2,2,1,1,2,1,1,2,8,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,2,2,1,9,1,1,1,1,1
"Bielish, Martha Palamarek",Progressive Conservative Party,Alberta,"Clark, Charles Joseph",1979.09.27 - 1990.09.26 ,1979.09.27 , 1990.09.26 ,(Resignation),1,1,9,9,9,9,2,1,1,2,8,1,1,1,1,2,1,1,9,2,1,1,9,9,2,1,1,1,1,1,2,9,1,2,2,1,1,1,2,2,9,1,9,1,9,1,1
"Guay, Joseph-Phillippe",Liberal Party of Canada,Manitoba,"Trudeau, Pierre Elliott",1978.03.23 - 1990.10.04 ,1978.03.23 , 1990.10.04 ,(Retirement),2,9,1,1,2,2,1,9,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,1,9,1,1,2,2,2,1,9,2,2,2,2,2,2,2
"Steuart, David Gordon",Liberal Party of Canada,Saskatchewan,"Trudeau, Pierre Elliott",1976.12.09 - 1991.01.26 ,1976.12.09 , 1991.01.26 ,(Retirement),9,9,1,1,2,2,1,2,9,1,1,2,9,9,9,9,9,9,9,9,9,2,2,9,9,9,9,9,9,9,9,9,9,1,1,9,9,9,9,9,9,2,9,9,2,2,2
"Turner, Charles Robert",Liberal Party of Canada,Ontario,"Turner, John Napier",1984.07.09 - 1991.03.24 ,1984.07.09 , 1991.03.24 ,(Retirement),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Croll, David Arnold",Liberal Party of Canada,Ontario,"St-Laurent, Louis Stephen",1955.07.28 - 1991.06.11 ,1955.07.28 , 1991.06.11 ,(Death),2,9,9,9,9,9,9,9,9,1,1,2,2,2,2,2,2,2,2,2,1,9,9,9,1,2,9,9,9,9,9,2,1,2,9,9,9,9,9,9,9,9,9,9,2,9,2
"Denis, Azellus",Liberal Party of Canada,Quebec,"Pearson, Lester Bowles",1964.02.03 - 1991.09.04 ,1964.02.03 , 1991.09.04 ,(Death),2,2,9,9,9,9,1,2,2,9,9,9,9,2,2,2,2,2,2,2,1,2,2,2,1,2,9,2,1,9,9,1,2,1,1,2,2,2,1,1,2,2,9,9,9,2,2
"Argue, Hazen Robert",Liberal Party of Canada,Saskatchewan,"Pearson, Lester Bowles",1966.02.24 - 1991.10.02 ,1966.02.24 , 1991.10.02 ,(Death),9,2,9,9,9,9,1,9,2,1,1,2,2,2,2,2,2,2,2,2,1,9,9,2,1,2,2,9,9,2,1,9,9,1,1,9,9,9,9,1,9,9,9,9,2,9,2
"Buckwold, Sidney Labe",Liberal Party of Canada,Saskatchewan,"Trudeau, Pierre Elliott",1971.11.04 - 1991.11.03 ,1971.11.04 , 1991.11.03 ,(Retirement),9,9,9,9,9,9,1,2,2,1,1,2,9,9,2,2,2,2,2,2,1,2,9,9,9,9,2,2,2,2,1,1,9,9,1,9,9,9,9,9,2,9,2,9,9,9,9
"Van Roggen, George Clifford",Liberal Party of Canada,British Columbia,"Trudeau, Pierre Elliott",1971.11.04 - 1992.06.08 ,1971.11.04 , 1992.06.08 ,(Death),9,9,1,1,2,2,1,2,2,1,1,2,2,9,2,2,2,2,2,2,1,2,9,2,9,2,2,2,2,2,1,1,9,1,1,2,2,2,1,9,2,9,9,9,9,9,9
"Roblin, Dufferin (Duff)",Progressive Conservative Party,Manitoba,"Trudeau, Pierre Elliott",1978.03.23 - 1992.06.17 ,1978.03.23 , 1992.06.17 ,(Retirement),9,1,2,2,1,1,2,1,1,2,8,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,9,1,2,2,1,1,1,2,2,1,9,1,9,1,9,1
"Tremblay, Arthur Julien",Progressive Conservative Party,Quebec,"Clark, Charles Joseph",1979.09.27 - 1992.06.18 ,1979.09.27 , 1992.06.18 ,(Retirement),9,1,2,2,1,1,2,9,1,2,8,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,9,1,2,2,1,1,1,2,2,1,1,1,1,1,1,9
"Leblanc, Fernand-E.",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1979.03.27 - 1992.07.01 ,1979.03.27 , 1992.07.01 ,(Retirement),9,9,1,1,2,2,1,2,2,9,1,2,9,2,2,2,2,2,2,2,1,9,2,9,1,2,9,2,2,2,1,9,2,1,1,9,9,9,9,1,2,2,2,2,2,2,2
"Marsden, Lorna",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1984.01.24 - 1992.08.31 ,1984.01.24 , 1992.08.31 ,(Resignation),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,9,2,2,2
"Bí©lisle, Rhí©al",Progressive Conservative Party,Ontario,"Diefenbaker, John George",1963.02.04 - 1992.11.03 ,1963.02.04 , 1992.11.03 ,(Death),1,9,9,2,9,9,2,9,1,2,8,1,1,1,1,1,1,1,1,1,1,9,9,1,1,9,9,1,9,9,9,2,1,2,2,1,1,1,2,9,1,9,9,9,9,1,9
"Lefebvre, Thomas",Liberal Party of Canada,Quebec,"Turner, John Napier",1984.07.09 - 1992.11.20 ,1984.07.09 , 1992.11.20 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Nurgitz, Nathan",Progressive Conservative Party,Manitoba,"Clark, Charles Joseph",1979.10.03 - 1993.02.09 ,1979.10.03 , 1993.02.09 ,(Resignation),1,1,2,2,1,1,2,1,1,2,8,1,9,1,1,2,1,1,9,2,1,9,1,1,1,1,1,9,9,9,9,9,9,2,2,1,1,1,2,2,1,1,1,9,1,1,1
"Molson, Hartland de Montarville",Independent,Quebec,"St-Laurent, Louis Stephen",1955.07.28 - 1993.05.31 ,1955.07.28 , 1993.05.31 ,(Resignation),2,9,9,9,9,9,2,1,9,2,8,8,2,2,1,2,1,2,1,1,2,1,9,8,9,9,9,9,9,9,9,2,9,2,1,9,9,9,9,9,9,9,9,9,1,9,9
"Everett, Douglas Donald",Liberal Party of Canada,Manitoba,"Pearson, Lester Bowles",1966.11.08 - 1994.01.20 ,1966.11.08 , 1994.01.20 ,(Resignation),9,9,9,9,9,9,9,2,2,1,1,2,9,2,2,2,2,2,2,2,1,2,9,2,2,9,9,9,9,9,9,1,9,1,9,9,9,9,9,9,9,9,9,9,2,9,9
"Lang, Daniel Aiken",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1964.02.14 - 1994.06.13 ,1964.02.14 , 1994.06.13 ,(Resignation),2,9,9,9,9,9,9,1,9,9,8,8,9,9,9,9,9,9,1,9,2,1,9,8,2,1,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9
"Frith, Royce Herbert",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1977.04.05 - 1994.08.29 ,1977.04.05 , 1994.08.29 ,(Resignation),2,2,1,1,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,1,2,1,1,2,2,2,1,1,2,2,2,2,2,2,2
"Macquarrie, Heath Nelson",Progressive Conservative Party,Prince Edward Island,"Clark, Charles Joseph",1979.10.03 - 1994.09.18 ,1979.10.03 , 1994.09.18 ,(Retirement),1,1,9,2,1,1,2,1,1,2,8,1,1,9,1,9,1,1,1,2,2,1,1,1,2,1,1,9,9,9,9,9,9,2,9,1,1,1,2,2,1,9,1,1,9,1,1
"Muir, Robert",Progressive Conservative Party,Nova Scotia,"Trudeau, Pierre Elliott",1979.03.26 - 1994.11.10 ,1979.03.26 , 1994.11.10 ,(Retirement),1,1,2,2,1,1,2,1,1,2,8,1,1,9,1,2,1,1,1,1,1,1,9,9,9,9,1,9,9,9,9,9,1,2,2,9,9,9,9,9,1,1,1,1,1,1,1
"LeBlanc, Romí©o",Liberal Party of Canada,New Brunswick,"Trudeau, Pierre Elliott",1984.06.29 - 1994.11.21 ,1984.06.29 , 1994.11.21 ,(Resignation),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Marshall, Jack",Progressive Conservative Party,Newfoundland and Labrador,"Trudeau, Pierre Elliott",1978.03.23 - 1994.11.26 ,1978.03.23 , 1994.11.26 ,(Retirement),9,1,2,2,1,1,2,1,1,2,8,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,9,9,9,9,9,2,1,9,2,1,1,1,2,2,1,1,1,1,1,9,1
"Neiman, Joan Bissett",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1972.09.01 - 1995.09.09 ,1972.09.01 , 1995.09.09 ,(Retirement),9,2,9,9,9,9,1,2,2,9,9,9,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,1,2,1,1,2,2,2,1,1,2,2,9,2,2,2,2
"Thí©riault, L. Norbert",Liberal Party of Canada,New Brunswick,"Trudeau, Pierre Elliott",1979.03.26 - 1996.02.16 ,1979.03.26 , 1996.02.16 ,(Retirement),2,9,1,1,2,2,1,2,9,1,1,8,2,2,2,2,2,2,2,2,1,9,9,2,1,2,2,9,2,2,1,8,2,1,1,2,2,2,1,9,2,9,2,2,9,2,2
"Olson, Horace Andrew (Bud)",Liberal Party of Canada,Alberta,"Trudeau, Pierre Elliott",1977.04.05 - 1996.03.07 ,1977.04.05 , 1996.03.07 ,(Resignation),9,2,1,1,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,9,2,1,2,2,2,2,2,1,1,2,1,1,2,2,2,1,1,2,2,2,2,2,2,2
"Hastings, Earl Adams",Liberal Party of Canada,Alberta,"Pearson, Lester Bowles",1966.02.24 - 1996.05.05 ,1966.02.24 , 1996.05.05 ,(Death),2,9,1,1,2,2,1,2,9,1,1,2,2,2,2,2,2,2,2,2,1,9,2,2,1,2,2,2,2,2,1,9,9,9,9,2,2,2,1,1,2,2,2,2,2,9,9
"Davey, Keith Douglas",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1966.02.24 - 1996.07.01 ,1966.02.24 , 1996.07.01 ,(Resignation),9,9,9,9,9,9,1,2,2,1,1,2,2,2,2,2,2,2,2,2,1,9,9,9,1,2,2,9,9,9,9,1,2,1,1,2,2,2,1,1,2,2,9,9,9,2,9
"MacEachen, Allan Joseph",Liberal Party of Canada,Nova Scotia,"Trudeau, Pierre Elliott",1984.06.29 - 1996.07.06 ,1984.06.29 , 1996.07.06 ,(Retirement),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Riel, Maurice",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1973.10.05 - 1997.04.03 ,1973.10.05 , 1997.04.03 ,(Retirement),9,2,9,9,9,9,1,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,9,2,1,2,9,2,2,2,1,1,9,9,9,2,2,2,1,1,2,2,9,9,9,9,9
"Macdonald, John Michael",Progressive Conservative Party,Nova Scotia,"Diefenbaker, John George",1960.06.24 - 1997.06.20 ,1960.06.24 , 1997.06.20 ,(Death),1,9,2,2,1,1,2,1,1,2,8,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,9,9,9,9,2,1,2,2,1,1,1,2,2,1,1,1,9,1,1,1
"Charbonneau, Guy",Progressive Conservative Party,Quebec,"Clark, Charles Joseph",1979.09.27 - 1997.06.21 ,1979.09.27 , 1997.06.21 ,(Retirement),9,1,9,9,9,9,2,1,1,2,8,1,1,1,1,2,1,1,1,2,1,1,1,9,1,1,9,9,9,9,9,9,1,2,9,9,9,9,9,9,9,9,1,9,1,1,9
"Rizzuto, Pietro",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1976.12.23 - 1997.08.03 ,1976.12.23 , 1997.08.03 ,(Death),9,9,9,9,9,9,1,2,2,1,1,2,2,2,2,2,2,2,2,2,1,9,2,2,1,2,9,2,2,2,1,1,9,1,9,9,9,9,9,1,2,9,9,9,9,9,2
"Bonnell, M. Lorne",Liberal Party of Canada,Prince Edward Island,"Trudeau, Pierre Elliott",1971.11.04 - 1998.01.04 ,1971.11.04 , 1998.01.04 ,(Retirement),2,9,9,9,9,9,9,2,2,9,9,9,2,2,2,2,2,2,2,2,1,2,9,2,1,2,9,2,2,2,1,1,9,1,1,2,2,2,1,1,2,9,2,2,2,2,2
"Petten, William J.",Liberal Party of Canada,Newfoundland and Labrador,"Pearson, Lester Bowles",1968.04.08 - 1998.01.28 ,1968.04.08 , 1998.01.28 ,(Retirement),2,2,1,1,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,1,9,9,9,1,2,2,2,2,2,1,1,2,1,1,9,9,9,9,9,2,2,2,2,2,2,2
"Marchand, Len",Liberal Party of Canada,British Columbia,"Trudeau, Pierre Elliott",1984.06.29 - 1998.03.01 ,1984.06.29 , 1998.03.01 ,(Resignation),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Haidasz, Stanley",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1978.03.23 - 1998.03.04 ,1978.03.23 , 1998.03.04 ,(Retirement),9,2,1,1,9,9,9,2,2,1,1,2,9,2,2,1,2,2,2,1,1,9,2,2,1,2,9,2,2,2,1,1,9,1,1,9,9,9,9,1,2,9,2,2,9,2,2
"Thompson, Andrew",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1967.04.06 - 1998.03.23 ,1967.04.06 , 1998.03.23 ,(Resignation),9,9,9,9,9,9,1,1,2,9,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9
"Stanbury, Richard J.",Liberal Party of Canada,Ontario,"Pearson, Lester Bowles",1968.02.13 - 1998.05.02 ,1968.02.13 , 1998.05.02 ,(Retirement),9,2,9,9,9,9,9,9,2,1,1,2,9,9,9,9,9,9,9,9,9,2,2,9,9,9,2,2,2,2,1,1,9,1,1,9,9,9,9,9,2,9,2,9,2,9,2
"Hí©bert, Jacques",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1983.04.20 - 1998.06.21 ,1983.04.20 , 1998.06.21 ,(Retirement),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,9,2,2,9,2,9
"GigantíÂs, Philippe D.",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1984.01.13 - 1998.08.16 ,1984.01.13 , 1998.08.16 ,(Retirement),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,9,9,2,2
"Bosa, Peter",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1977.04.05 - 1998.12.10 ,1977.04.05 , 1998.12.10 ,(Death),2,2,1,1,2,2,1,2,2,1,1,2,2,9,2,2,2,2,2,2,1,2,2,2,9,2,2,2,2,2,1,1,2,1,1,2,2,2,1,1,2,9,2,9,9,2,2
"Wood, Dalia",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1979.03.26 - 1999.01.31 ,1979.03.26 , 1999.01.31 ,(Resignation),2,9,1,1,2,2,9,9,2,1,1,2,2,2,2,2,2,2,2,2,1,2,9,9,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,9,9,2,9
"Phillips, Orville H.",Progressive Conservative Party,Prince Edward Island,"Diefenbaker, John George",1963.02.05 - 1999.03.24 ,1963.02.05 , 1999.03.24 ,(Resignation),9,1,2,2,1,1,2,1,9,2,8,1,1,1,1,1,1,1,1,1,2,9,1,9,2,1,9,9,9,9,9,2,1,2,2,1,1,1,2,2,1,9,1,1,1,9,1
"Lucier, Paul",Liberal Party of Canada,Yukon,"Trudeau, Pierre Elliott",1975.10.23 - 1999.07.23 ,1975.10.23 , 1999.07.23 ,(Death),9,9,9,9,9,9,9,2,9,1,1,2,2,2,2,2,2,2,2,2,1,9,9,9,9,9,9,2,9,9,9,1,2,1,9,9,9,9,9,1,2,2,9,9,2,9,2
"Stewart, John B.",Liberal Party of Canada,Nova Scotia,"Trudeau, Pierre Elliott",1984.01.13 - 1999.11.19 ,1984.01.13 , 1999.11.19 ,(Retirement),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,2,2,2,2
"Lewis, Philip Derek",Liberal Party of Canada,Newfoundland and Labrador,"Trudeau, Pierre Elliott",1978.03.23 - 1999.11.28 ,1978.03.23 , 1999.11.28 ,(Retirement),9,9,9,9,9,9,9,2,2,1,1,2,9,2,2,2,2,2,2,2,1,2,9,2,1,2,2,2,2,2,1,1,9,1,1,2,2,2,1,1,2,9,9,9,9,9,2
"Balfour, James",Progressive Conservative Party,Saskatchewan,"Clark, Charles Joseph",1979.09.13 - 1999.12.12 ,1979.09.13 , 1999.12.12 ,(Death),1,1,9,9,9,9,2,9,1,9,9,9,1,9,1,2,1,1,1,1,2,9,9,1,9,9,9,9,9,9,9,9,1,2,2,1,1,1,2,9,1,1,9,9,1,9,1
"Kelly, William M.",Progressive Conservative Party,Ontario,"Trudeau, Pierre Elliott",1982.12.23 - 2000.07.21 ,1982.12.23 , 2000.07.21 ,(Retirement),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,1,9,9,9,9,9,9,9,1,9,1,9,9,9,1
"Robichaud, Louis J.",Liberal Party of Canada,New Brunswick,"Trudeau, Pierre Elliott",1973.12.21 - 2000.10.21 ,1973.12.21 , 2000.10.21 ,(Retirement),9,2,9,9,9,9,1,2,9,1,1,2,2,2,2,2,2,2,2,2,1,2,9,2,1,2,2,2,1,2,1,1,2,9,9,9,9,9,9,9,9,2,2,9,2,9,2
"Perrault, Raymond J.",Liberal Party of Canada,British Columbia,"Trudeau, Pierre Elliott",1973.10.05 - 2001.02.06 ,1973.10.05 , 2001.02.06 ,(Retirement),9,2,1,1,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,1,9,2,2,1,2,2,9,9,2,1,9,9,1,1,9,9,9,9,9,2,9,9,2,9,9,9
"Molgat, Gildas L.",Liberal Party of Canada,Manitoba,"Trudeau, Pierre Elliott",1970.10.07 - 2001.02.28 ,1970.10.07 , 2001.02.28 ,(Death),2,2,1,1,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,9,2,1,2,2,9,2,2,1,1,2,1,9,9,9,9,9,1,1,2,2,9,2,2,2
"Kolber, Ernest Leo",Liberal Party of Canada,Quebec,"Trudeau, Pierre Elliott",1983.12.23 - 2004.01.18 ,1983.12.23 , 2004.01.18 ,(Retirement),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,2,9,9,9
"Graham, B. Alasdair",Liberal Party of Canada,Nova Scotia,"Trudeau, Pierre Elliott",1972.04.27 - 2004.05.21 ,1972.04.27 , 2004.05.21 ,(Retirement),9,9,1,1,2,2,1,2,2,9,1,2,2,2,2,2,2,2,2,2,1,2,9,2,1,2,2,2,2,2,1,1,2,1,9,2,2,2,1,1,2,2,9,9,2,2,9
"Lawson, Edward M.",Independent,British Columbia,"Trudeau, Pierre Elliott",1970.10.07 - 2004.09.24 ,1970.10.07 , 2004.09.24 ,(Retirement),9,9,9,9,9,9,9,9,2,9,9,9,9,9,2,2,2,2,2,2,1,9,9,9,1,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9
"Sparrow, Herbert O.",Liberal Party of Canada,Saskatchewan,"Pearson, Lester Bowles",1968.02.09 - 2005.01.04 ,1968.02.09 , 2005.01.04 ,(Retirement),9,9,9,9,9,9,1,2,9,9,1,2,9,2,2,2,2,2,2,2,1,9,2,9,9,9,9,9,9,9,9,1,9,9,9,2,2,2,1,1,9,9,9,9,9,2,9
"Doody, C. William",Progressive Conservative Party,Newfoundland and Labrador,"Clark, Charles Joseph",1979.10.03 - 2005.12.27 ,1979.10.03 , 2005.12.27 ,(Death),1,1,2,2,1,1,2,1,1,2,8,1,1,1,1,1,1,1,1,1,2,9,1,1,2,1,9,1,1,1,2,9,9,2,2,1,1,1,2,9,1,1,1,1,9,9,1
"Kirby, Michael J.L.",Liberal Party of Canada,Nova Scotia,"Trudeau, Pierre Elliott",1984.01.13 - 2006.10.31 ,1984.01.13 , 2006.10.31 ,(Resignation),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,2,2,9,9
"Austin, Jack",Liberal Party of Canada,British Columbia,"Trudeau, Pierre Elliott",1975.08.19 - 2007.03.02 ,1975.08.19 , 2007.03.02 ,(Retirement),9,9,9,9,9,9,9,2,2,1,1,2,9,2,2,2,2,2,2,2,1,9,9,2,1,2,2,9,9,9,9,9,9,1,1,9,9,9,9,1,2,9,2,9,9,9,2
"Hays, Daniel",Liberal Party of Canada,Alberta,"Trudeau, Pierre Elliott",1984.06.29 - 2007.06.30 ,1984.06.29 , 2007.06.30 ,(Resignation),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Adams, Willie",Liberal Party of Canada,Northwest Territories,"Trudeau, Pierre Elliott",1977.04.05 - 2009.06.22 ,1977.04.05 , 2009.06.22 ,(Retirement),2,2,1,1,2,2,2,2,2,1,1,2,2,9,2,2,2,2,2,2,1,9,9,2,1,2,9,2,2,9,9,1,2,1,9,2,2,2,1,1,2,9,9,2,2,9,2
"Corbin, Eymard G.",Liberal Party of Canada,New Brunswick,"Turner, John Napier",1984.07.09 - 2009.08.02 ,1984.07.09 , 2009.08.02 ,(Retirement),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Grafstein, Jerahmiel S.",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1984.01.13 - 2010.01.02 ,1984.01.13 , 2010.01.02 ,(Retirement),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,9,2,9,9
"Pitfield, P. Michael",Independent,Ontario,"Trudeau, Pierre Elliott",1982.12.22 - 2010.06.01 ,1982.12.22 , 2010.06.01 ,(Resignation),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,2,9,1,9,9,9,9,9,9,9,9,9,9,9,2
"Stollery, Peter A.",Liberal Party of Canada,Ontario,"Trudeau, Pierre Elliott",1981.07.02 - 2010.11.29 ,1981.07.02 , 2010.11.29 ,(Retirement),99,99,99,99,99,99,99,99,99,99,99,99,9,9,9,9,9,9,9,9,9,2,2,9,1,2,9,9,9,9,9,1,2,2,1,2,2,2,1,1,9,9,2,2,2,2,2
