Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S16S1V01,S16S1V02,S16S2V01,S16S2V02,S16S4V01,S16S4V02,S16S4V03,S16S4V04
Date,,,,,,,,03.24.1926,03.24.1926,03.22.1928,05.08.1928,05.15.1930,05.20.1930,05.30.1930,05.30.1930
Bill,,,,,,,yay=1;nay=2;paired=3;yes+no=4;yes+paired=5;no+paired=6;yes+no+paired=7;notvote=ENPTY;Abstention=8;Problem=9999,Motion that the Bill (An Act respecting Old Age Pensions) be read a second time,"Motion that the Bill (An Act respecting Old Age Pensions) be committed to a Committee of the Whole, presently, with the following instructions",Motion that the Bill (An Act to anebd the Post Office Act (Newspaper Ownership)) be read a second time six months hence,Motion that the Bill (An Act to amend the Criminal Code) be now read a second time,Motion that the Bill (An Act to provide in the province of Ontario for the dissolution and the annulment of Marriage) be read a second time six months hence,"Motion that the Bill (An Act to amend the Export Act) be not now read a third time, but be amended","Motion that the Bill (An Act to amend the Criminal Code) be not now read a third time, but be amended","Motion that the Bill (An Act to amend the Criminal Code) be not now read a third time, but be amended"
"White, Richard Smeaton",Conservative (1867-1942),Quebec,"Borden, Robert Laird",1917.07.30 - 1936.12.17 ,1917.07.30 , 1936.12.17 ,(Death),2,2,1,2,2,9,9,9
"Lemieux, Rodolphe",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1930.06.03 - 1937.09.28 ,1930.06.03 , 1937.09.28 ,(Death),99,99,99,99,99,99,99,99
"Bí©nard, Aimí©",Conservative (1867-1942),Manitoba,"Borden, Robert Laird",1917.09.03 - 1938.01.08 ,1917.09.03 , 1938.01.08 ,(Death),1,9,1,9,9,9,9,9
"Tobin, Edmund William",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1930.06.03 - 1938.06.24 ,1930.06.03 , 1938.06.24 ,(Death),99,99,99,99,99,99,99,99
"Wilson, Joseph-Marcellin",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1911.05.03 - 1939.01.01 ,1911.05.03 , 1939.01.01 ,(Resignation),2,9,9,9,9,9,9,9
"Casgrain, Joseph Philippe Baby",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1900.01.29 - 1939.01.06 ,1900.01.29 , 1939.01.06 ,(Death),1,1,1,9,9,9,9,9
"Spence, James Houston",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1928.01.10 - 1939.02.21 ,1928.01.10 , 1939.02.21 ,(Death),99,99,9,1,2,2,1,1
"McLennan, John Stewart",Conservative (1867-1942),Nova Scotia,"Borden, Robert Laird",1916.02.10 - 1939.09.15 ,1916.02.10 , 1939.09.15 ,(Death),2,1,1,2,9,9,2,2
"Macdonell, Archibald Hayes",Conservative (1867-1942),Ontario,"Meighen, Arthur",1921.11.07 - 1939.11.12 ,1921.11.07 , 1939.11.12 ,(Death),2,1,1,9,9,1,2,2
"Gillis, Archibald Beaton",Conservative (1867-1942),Saskatchewan,"Meighen, Arthur",1921.10.17 - 1940.01.18 ,1921.10.17 , 1940.01.18 ,(Death),1,2,9,2,2,1,9,9
